题目编号,题目标题,素材模态,能力类型,选项形式,有效作答人数,答对人数,平均作答时间秒,作答时间中位数秒,难度_严格答对率,极端效应,题目处理建议,模态作答中位数秒,模态长时阈值秒,相对模态中位数倍数,作答过久,时间复核建议
ITEM-00058,102,图像,情绪识别,多选题,22,1,23.649545454545454,19.575,0.045454545454545456,地板题,建议删除（须内容复核）,17.0525,22.343,1.1479255241166986,False,无
ITEM-00059,15,文本,情绪识别,单选题,12,9,23.1775,15.595,0.75,无,样本不足，补测后判断,24.06,33.428,0.6481712385702412,False,无
ITEM-00060,18,文本,情绪识别,单选题,11,3,30.10545454545455,22.52,0.2727272727272727,无,样本不足，补测后判断,24.06,33.428,0.9359933499584373,False,无
ITEM-00061,109,图像,情绪识别,多选题,18,5,22.922777777777778,17.064999999999998,0.2777777777777778,无,保留进入难度分级,17.0525,22.343,1.0007330303474564,False,无
ITEM-00062,23,文本,情绪识别,单选题,10,8,23.565,19.14,0.8,无,样本不足，补测后判断,24.06,33.428,0.7955112219451372,False,无
ITEM-00063,110,图像,情绪识别,多选题,16,3,22.064375,20.095,0.1875,无,保留进入难度分级,17.0525,22.343,1.178419586570884,False,无
ITEM-00064,111,图像,情绪识别,多选题,18,3,15.04888888888889,14.690000000000001,0.16666666666666666,无,保留进入难度分级,17.0525,22.343,0.8614572643307434,False,无
ITEM-00065,112,图像,情绪识别,多选题,20,0,21.435499999999998,19.060000000000002,0.0,地板题,建议删除（须内容复核）,17.0525,22.343,1.1177246738014956,False,无
ITEM-00066,113,图像,情绪识别,多选题,17,0,19.174705882352942,16.63,0.0,地板题,建议删除（须内容复核）,17.0525,22.343,0.9752235742559743,False,无
ITEM-00067,114,图像,情绪识别,单选题,9,5,17.642222222222223,17.13,0.5555555555555556,无,样本不足，补测后判断,17.0525,22.343,1.0045447881542295,False,无
ITEM-00068,116,文本,情绪识别,多选题,35,6,26.421142857142858,21.52,0.17142857142857143,无,保留进入难度分级,24.06,33.428,0.8944305901911888,False,无
ITEM-00069,117,文本,情绪识别,多选题,24,1,20.63083333333333,19.93,0.041666666666666664,地板题,建议删除（须内容复核）,24.06,33.428,0.8283458021612635,False,无
ITEM-00070,119,文本,情绪识别,多选题,37,6,26.861081081081082,21.76,0.16216216216216217,无,保留进入难度分级,24.06,33.428,0.9044056525353285,False,无
ITEM-00071,91,图像,情绪识别,多选题,18,1,30.098888888888887,30.855,0.05555555555555555,地板题,建议删除（须内容复核）,17.0525,22.343,1.8094121096613403,True,检查并精简题干/选项阅读负荷
ITEM-00072,120,文本,情绪识别,多选题,26,1,29.19884615384615,22.875,0.038461538461538464,地板题,建议删除（须内容复核）,24.06,33.428,0.9507481296758106,False,无
ITEM-00073,107,图像,情绪识别,多选题,19,3,22.24105263157895,16.11,0.15789473684210525,无,保留进入难度分级,17.0525,22.343,0.9447295118017887,False,无
ITEM-00074,121,文本,情绪识别,单选题,14,11,23.189999999999998,18.215,0.7857142857142857,无,样本不足，补测后判断,24.06,33.428,0.7570656691604323,False,无
ITEM-00075,108,图像,情绪识别,多选题,29,3,22.710689655172413,16.56,0.10344827586206896,地板题,建议删除（须内容复核）,17.0525,22.343,0.9711186043102185,False,无
ITEM-00076,78,音频,情绪识别,多选题,24,0,32.67875,28.975,0.0,地板题,建议删除（须内容复核）,37.0,58.64900000000002,0.7831081081081082,False,无
ITEM-00077,79,音频,情绪识别,多选题,26,3,36.98307692307692,29.285,0.11538461538461539,地板题,建议删除（须内容复核）,37.0,58.64900000000002,0.7914864864864865,False,无
ITEM-00078,89,图像,情绪推理,多选题,64,3,26.93796875,22.36,0.046875,地板题,建议删除（须内容复核）,17.0525,22.343,1.311244685529981,True,检查并精简题干/选项阅读负荷
ITEM-00079,61,视频,情绪推理,多选题,34,3,36.8235294117647,31.880000000000003,0.08823529411764706,地板题,建议删除（须内容复核）,38.1975,59.325,0.8346095948687743,False,无
ITEM-00080,65,视频,情绪推理,多选题,35,0,45.21371428571429,37.88,0.0,地板题,建议删除（须内容复核）,38.1975,59.325,0.9916879376922575,False,无
ITEM-00081,58,视频,情绪识别,多选题,26,4,53.964615384615385,51.03,0.15384615384615385,无,保留进入难度分级,38.1975,59.325,1.335951305713725,False,无
ITEM-00082,72,视频,情绪识别,多选题,15,3,58.57066666666666,55.56,0.2,无,保留进入难度分级,38.1975,59.325,1.4545454545454546,False,无
ITEM-00083,73,视频,情绪识别,多选题,19,1,82.26578947368421,57.63,0.05263157894736842,地板题,建议删除（须内容复核）,38.1975,59.325,1.5087374828195563,False,无
ITEM-00084,78,音频,情绪推理,多选题,43,2,32.731162790697674,25.69,0.046511627906976744,地板题,建议删除（须内容复核）,37.0,58.64900000000002,0.6943243243243243,False,无
ITEM-00085,76,视频,情绪识别,多选题,13,4,30.973846153846157,28.63,0.3076923076923077,无,样本不足，补测后判断,38.1975,59.325,0.749525492506054,False,无
ITEM-00086,79,音频,情绪推理,多选题,51,12,30.955098039215688,26.08,0.23529411764705882,无,保留进入难度分级,37.0,58.64900000000002,0.7048648648648648,False,无
ITEM-00087,77,视频,情绪识别,多选题,17,2,49.10647058823529,41.23,0.11764705882352941,地板题,建议删除（须内容复核）,38.1975,59.325,1.0793900124353688,False,无
ITEM-00088,81,视频,情绪识别,多选题,24,9,42.435833333333335,36.945,0.375,无,保留进入难度分级,38.1975,59.325,0.9672098959355979,False,无
ITEM-00089,84,视频,情绪识别,多选题,19,1,62.473684210526315,58.66,0.05263157894736842,地板题,建议删除（须内容复核）,38.1975,59.325,1.5357025983375876,False,无
ITEM-00090,56,音频,情绪识别,多选题,29,4,39.894137931034486,35.89,0.13793103448275862,地板题,建议删除（须内容复核）,37.0,58.64900000000002,0.97,False,无
ITEM-00091,59,音频,情绪识别,多选题,28,7,35.96964285714286,30.39,0.25,无,保留进入难度分级,37.0,58.64900000000002,0.8213513513513514,False,无
ITEM-00092,66,音频,情绪识别,多选题,28,10,49.840357142857144,48.47,0.35714285714285715,无,保留进入难度分级,37.0,58.64900000000002,1.31,False,无
ITEM-00093,75,音频,情绪识别,多选题,36,8,40.875277777777775,30.95,0.2222222222222222,无,保留进入难度分级,37.0,58.64900000000002,0.8364864864864865,False,无
ITEM-00094,88,音频,情绪识别,多选题,23,2,45.53,44.52,0.08695652173913043,地板题,建议删除（须内容复核）,37.0,58.64900000000002,1.2032432432432434,False,无
ITEM-00095,59,文本,情绪识别,多选题,28,9,37.542142857142856,35.04,0.32142857142857145,无,保留进入难度分级,24.06,33.428,1.4563591022443891,True,检查并精简题干/选项阅读负荷
ITEM-00096,74,文本,情绪识别,多选题,40,6,24.4685,21.509999999999998,0.15,地板题,建议删除（须内容复核）,24.06,33.428,0.8940149625935162,False,无
ITEM-00097,82,文本,情绪识别,多选题,36,4,37.86972222222222,32.254999999999995,0.1111111111111111,地板题,建议删除（须内容复核）,24.06,33.428,1.3406068162926017,False,无
ITEM-00098,1,视频,情绪推理,多选题,28,1,38.28785714285714,32.955,0.03571428571428571,地板题,建议删除（须内容复核）,38.1975,59.325,0.8627527979579815,False,无
ITEM-00100,10,视频,情绪推理,多选题,33,5,52.83787878787879,59.61,0.15151515151515152,无,保留进入难度分级,38.1975,59.325,1.5605733359513059,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00101,55,视频,情绪推理,多选题,28,5,58.845000000000006,56.209999999999994,0.17857142857142858,无,保留进入难度分级,38.1975,59.325,1.4715622750179984,False,无
ITEM-00102,57,视频,情绪推理,多选题,35,8,69.03914285714285,60.27,0.22857142857142856,无,保留进入难度分级,38.1975,59.325,1.5778519536618891,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00104,23,文本,情绪推理,单选题,27,26,30.27259259259259,28.9,0.9629629629629629,天花板题,建议删除（须内容复核）,24.06,33.428,1.201163757273483,False,无
ITEM-00105,2,音频,情绪推理,多选题,41,2,46.1290243902439,42.89,0.04878048780487805,地板题,建议删除（须内容复核）,37.0,58.64900000000002,1.1591891891891892,False,无
ITEM-00106,77,视频,情绪推理,单选题,31,15,49.54548387096774,35.59,0.4838709677419355,无,保留进入难度分级,38.1975,59.325,0.9317363701812947,False,无
ITEM-00107,81,视频,情绪推理,多选题,25,1,40.9576,37.51,0.04,地板题,建议删除（须内容复核）,38.1975,59.325,0.9820014398848093,False,无
ITEM-00108,59,音频,情绪推理,多选题,35,3,50.21828571428572,39.23,0.08571428571428572,地板题,建议删除（须内容复核）,37.0,58.64900000000002,1.0602702702702702,False,无
ITEM-00109,88,音频,情绪推理,多选题,49,3,58.04775510204082,59.78,0.061224489795918366,地板题,建议删除（须内容复核）,37.0,58.64900000000002,1.6156756756756756,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00110,59,文本,情绪推理,多选题,32,0,38.86875,31.655,0.0,地板题,建议删除（须内容复核）,24.06,33.428,1.3156691604322528,False,无
ITEM-00111,31,图像,情绪识别,单选题,12,7,15.810833333333333,15.48,0.5833333333333334,无,样本不足，补测后判断,17.0525,22.343,0.9077847822899869,False,无
ITEM-00112,35,图像,情绪识别,单选题,7,0,20.42142857142857,20.2,0.0,地板题,样本不足，补测后判断,17.0525,22.343,1.1845770414895178,False,无
ITEM-00113,36,图像,情绪识别,单选题,7,1,22.407142857142855,22.19,0.14285714285714285,地板题,样本不足，补测后判断,17.0525,22.343,1.3012754728045743,False,无
ITEM-00114,38,图像,情绪识别,单选题,9,1,18.172222222222224,13.16,0.1111111111111111,地板题,样本不足，补测后判断,17.0525,22.343,0.7717343498020819,False,无
ITEM-00115,39,图像,情绪识别,单选题,10,8,13.912,13.27,0.8,无,样本不足，补测后判断,17.0525,22.343,0.778185016859698,False,无
ITEM-00116,46,图像,情绪识别,单选题,12,7,18.587500000000002,14.665,0.5833333333333334,无,样本不足，补测后判断,17.0525,22.343,0.8599912036358306,False,无
ITEM-00117,47,图像,情绪识别,单选题,10,2,24.399,20.0,0.2,无,样本不足，补测后判断,17.0525,22.343,1.1728485559302155,False,无
ITEM-00118,48,图像,情绪识别,单选题,11,4,19.24818181818182,15.68,0.36363636363636365,无,样本不足，补测后判断,17.0525,22.343,0.919513267849289,False,无
ITEM-00119,49,图像,情绪识别,单选题,8,2,21.3125,18.785,0.25,无,样本不足，补测后判断,17.0525,22.343,1.101598006157455,False,无
ITEM-00120,105,图像,情绪识别,单选题,8,1,25.5625,15.799999999999999,0.125,地板题,样本不足，补测后判断,17.0525,22.343,0.9265503591848703,False,无
ITEM-00121,106,图像,情绪识别,单选题,14,10,17.54285714285714,11.989999999999998,0.7142857142857143,无,样本不足，补测后判断,17.0525,22.343,0.7031227092801642,False,无
ITEM-00122,5,文本,情绪识别,单选题,11,4,27.29,27.45,0.36363636363636365,无,样本不足，补测后判断,24.06,33.428,1.1408977556109725,False,无
ITEM-00123,8,音频,情绪识别,单选题,41,26,25.94390243902439,23.63,0.6341463414634146,无,保留进入难度分级,37.0,58.64900000000002,0.6386486486486487,False,无
ITEM-00124,22,音频,情绪识别,单选题,39,26,41.35923076923077,40.58,0.6666666666666666,无,保留进入难度分级,37.0,58.64900000000002,1.0967567567567567,False,无
ITEM-00125,85,视频,情绪识别,多选题,26,4,48.13884615384615,45.115,0.15384615384615385,无,保留进入难度分级,38.1975,59.325,1.1810982394135743,False,无
ITEM-00126,86,视频,情绪识别,多选题,17,0,29.97470588235294,27.87,0.0,地板题,建议删除（须内容复核）,38.1975,59.325,0.7296289024150796,False,无
ITEM-00127,87,视频,情绪识别,多选题,20,1,69.15450000000001,60.075,0.05,地板题,建议删除（须内容复核）,38.1975,59.325,1.572746907520126,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00128,100,图像,情绪识别,多选题,17,3,19.364117647058823,17.99,0.17647058823529413,无,保留进入难度分级,17.0525,22.343,1.0549772760592289,False,无
ITEM-00129,103,图像,情绪识别,多选题,21,4,23.375714285714285,20.36,0.19047619047619047,无,保留进入难度分级,17.0525,22.343,1.1939598299369594,False,无
ITEM-00130,104,图像,情绪识别,多选题,19,2,16.87421052631579,17.04,0.10526315789473684,地板题,建议删除（须内容复核）,17.0525,22.343,0.9992669696525437,False,无
ITEM-00131,115,图像,情绪识别,多选题,14,1,20.797142857142855,21.814999999999998,0.07142857142857142,地板题,样本不足，补测后判断,17.0525,22.343,1.2792845623808826,False,无
ITEM-00132,37,图像,情绪识别,多选题,14,2,34.81142857142857,31.59,0.14285714285714285,地板题,样本不足，补测后判断,17.0525,22.343,1.8525142940917756,False,无
ITEM-00133,99,图像,情绪识别,多选题,11,1,27.543636363636367,18.88,0.09090909090909091,地板题,样本不足，补测后判断,17.0525,22.343,1.1071690367981235,False,无
ITEM-00134,67,文本,情绪识别,多选题,34,7,35.2235294117647,33.025,0.20588235294117646,无,保留进入难度分级,24.06,33.428,1.3726101413133833,False,无
ITEM-00135,68,文本,情绪识别,多选题,39,2,31.83846153846154,28.12,0.05128205128205128,地板题,建议删除（须内容复核）,24.06,33.428,1.1687448046550293,False,无
ITEM-00136,71,文本,情绪识别,多选题,21,1,25.944285714285716,24.06,0.047619047619047616,地板题,建议删除（须内容复核）,24.06,33.428,1.0,False,无
ITEM-00137,69,音频,情绪识别,多选题,33,5,30.728181818181817,29.16,0.15151515151515152,无,保留进入难度分级,37.0,58.64900000000002,0.7881081081081082,False,无
ITEM-00138,22,音频,情绪推理,多选题,37,0,63.70081081081081,62.23,0.0,地板题,建议删除（须内容复核）,37.0,58.64900000000002,1.6818918918918917,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00139,37,图像,情绪推理,多选题,64,2,26.2546875,22.04,0.03125,地板题,建议删除（须内容复核）,17.0525,22.343,1.2924791086350975,False,无
ITEM-00140,63,文本,情绪推理,多选题,48,7,27.485833333333332,24.104999999999997,0.14583333333333334,地板题,建议删除（须内容复核）,24.06,33.428,1.0018703241895262,False,无
ITEM-00141,67,文本,情绪推理,多选题,48,4,55.727916666666665,50.665,0.08333333333333333,地板题,建议删除（须内容复核）,24.06,33.428,2.1057772236076477,True,检查并精简题干/选项阅读负荷
ITEM-00142,68,文本,情绪推理,单选题,33,13,29.992121212121212,29.34,0.3939393939393939,无,保留进入难度分级,24.06,33.428,1.2194513715710724,False,无
ITEM-00143,71,文本,情绪推理,单选题,37,11,36.18378378378378,29.16,0.2972972972972973,无,保留进入难度分级,24.06,33.428,1.2119700748129676,False,无
ITEM-00144,118,文本,情绪推理,单选题,31,14,42.149354838709684,32.44,0.45161290322580644,无,保留进入难度分级,24.06,33.428,1.3482959268495427,False,无
ITEM-00145,69,音频,情绪识别,多选题,29,1,40.79379310344827,40.4,0.034482758620689655,地板题,建议删除（须内容复核）,37.0,58.64900000000002,1.0918918918918918,False,无
ITEM-00146,118,文本,情绪识别,多选题,31,14,41.25096774193548,38.32,0.45161290322580644,无,保留进入难度分级,24.06,33.428,1.5926849542809645,True,检查并精简题干/选项阅读负荷
ITEM-00147,6,视频,情绪识别,单选题,4,3,49.1725,48.665,0.75,无,样本不足，补测后判断,38.1975,59.325,1.2740362589174685,False,无
ITEM-00148,62,视频,情绪识别,单选题,12,9,29.011666666666667,24.715,0.75,无,样本不足，补测后判断,38.1975,59.325,0.6470318738137313,False,无
ITEM-00149,60,视频,情绪推理,单选题,33,12,62.39727272727273,58.29,0.36363636363636365,无,保留进入难度分级,38.1975,59.325,1.5260161005301394,False,无
ITEM-00150,86,视频,情绪推理,多选题,38,7,43.74473684210526,38.855000000000004,0.18421052631578946,无,保留进入难度分级,38.1975,59.325,1.0172131684010735,False,无
