题目编号,原题答案,有效作答人数,原答案完整命中率,原答案全部被选率_允许多选其他项,至少一个原答案被选率,原答案选项平均选择概率,至少一个新选项被选率,新选项平均选择个数,原答案完整命中百分比,原答案全部被选百分比_允许多选其他项,至少一个原答案被选百分比,原答案选项平均选择百分比,至少一个新选项被选百分比
ITEM-00024,紧张,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666
ITEM-00025,痛苦,4,0.5,0.5,0.5,0.5,0.5,0.5,50.0,50.0,50.0,50.0,50.0
ITEM-00026,悲伤,8,0.625,0.625,0.625,0.625,0.375,0.375,62.5,62.5,62.5,62.5,37.5
ITEM-00027,快乐,8,0.5,0.5,0.5,0.5,0.5,0.5,50.0,50.0,50.0,50.0,50.0
ITEM-00028,悲伤,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666
ITEM-00029,厌恶,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0
ITEM-00030,困惑,8,0.5,0.5,0.5,0.5,0.5,0.5,50.0,50.0,50.0,50.0,50.0
ITEM-00032,愉悦,5,0.4,0.4,0.4,0.4,0.6,0.6,40.0,40.0,40.0,40.0,60.0
ITEM-00033,惊讶,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,44.44444444444444
ITEM-00034,爱,8,0.875,0.875,0.875,0.875,0.125,0.125,87.5,87.5,87.5,87.5,12.5
ITEM-00035,惊讶,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666
ITEM-00036,兴趣,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,85.71428571428571
ITEM-00037,蔑视,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,28.57142857142857
ITEM-00038,自满,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.2222222222222222,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779,22.22222222222222
ITEM-00039,痛苦,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.15384615384615385,84.61538461538461,84.61538461538461,84.61538461538461,84.61538461538461,15.384615384615385
ITEM-00040,怨恨,16,0.625,0.625,0.625,0.625,0.375,0.375,62.5,62.5,62.5,62.5,37.5
ITEM-00041,自满,18,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,83.33333333333334
ITEM-00042,委屈｜悲伤,22,0.18181818181818182,0.36363636363636365,0.8636363636363636,0.6136363636363636,0.6363636363636364,1.0,18.181818181818183,36.36363636363637,86.36363636363636,61.36363636363637,63.63636363636363
ITEM-00043,怀旧｜感动｜愉悦｜遗憾,17,0.0,0.0,1.0,0.3676470588235294,0.5294117647058824,0.6470588235294118,0.0,0.0,100.0,36.764705882352935,52.94117647058824
ITEM-00044,紧张｜惊讶,21,0.0,0.19047619047619047,0.9047619047619048,0.5476190476190477,0.5714285714285714,0.7142857142857143,0.0,19.047619047619047,90.47619047619048,54.761904761904766,57.14285714285714
ITEM-00045,紧张,31,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.7096774193548387,0.7096774193548387,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,70.96774193548387
ITEM-00046,内疚｜悲伤,12,0.0,0.4166666666666667,0.8333333333333334,0.625,0.75,1.0,0.0,41.66666666666667,83.33333333333334,62.5,75.0
ITEM-00047,惊喜｜快乐｜愉悦,16,0.1875,0.375,0.875,0.625,0.5,0.6875,18.75,37.5,87.5,62.5,50.0
ITEM-00048,愤怒,34,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.29411764705882354,70.58823529411765,70.58823529411765,70.58823529411765,70.58823529411765,29.411764705882355
ITEM-00049,敌意,43,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.5813953488372093,0.5813953488372093,41.86046511627907,41.86046511627907,41.86046511627907,41.86046511627907,58.139534883720934
ITEM-00050,敌意｜怨恨,20,0.25,0.55,0.9,0.725,0.45,0.6,25.0,55.00000000000001,90.0,72.5,45.0
ITEM-00051,悲伤,15,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.5333333333333333,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,53.333333333333336
ITEM-00052,绝望｜痛苦｜委屈,15,0.0,0.26666666666666666,0.8666666666666667,0.5555555555555555,0.6,0.7333333333333333,0.0,26.666666666666668,86.66666666666667,55.55555555555555,60.0
ITEM-00053,悲伤｜委屈｜绝望,15,0.06666666666666667,0.06666666666666667,0.9333333333333333,0.5777777777777777,0.7333333333333333,1.0,6.666666666666667,6.666666666666667,93.33333333333333,57.77777777777777,73.33333333333333
ITEM-00054,希望｜轻松｜愉悦,15,0.06666666666666667,0.2,0.8666666666666667,0.6,0.5333333333333333,0.7333333333333333,6.666666666666667,20.0,86.66666666666667,60.0,53.333333333333336
ITEM-00055,兴奋｜轻松｜愉悦｜快乐,18,0.05555555555555555,0.2222222222222222,0.9444444444444444,0.6527777777777778,0.5555555555555556,0.7222222222222222,5.555555555555555,22.22222222222222,94.44444444444444,65.27777777777779,55.55555555555556
ITEM-00056,担忧,11,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.7272727272727273,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,72.72727272727273
ITEM-00057,惊喜,33,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.36363636363636365,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,36.36363636363637
ITEM-00058,感动｜愉悦,22,0.045454545454545456,0.13636363636363635,0.5454545454545454,0.34090909090909094,0.9090909090909091,1.4545454545454546,4.545454545454546,13.636363636363635,54.54545454545454,34.09090909090909,90.9090909090909
ITEM-00059,羞耻,12,0.75,0.75,0.75,0.75,0.25,0.25,75.0,75.0,75.0,75.0,25.0
ITEM-00060,感激,11,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.7272727272727273,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,72.72727272727273
ITEM-00061,快乐｜愉悦,18,0.2777777777777778,0.8888888888888888,1.0,0.9444444444444444,0.6111111111111112,1.2222222222222223,27.77777777777778,88.88888888888889,100.0,94.44444444444444,61.111111111111114
ITEM-00062,惊喜,10,0.8,0.8,0.8,0.8,0.2,0.2,80.0,80.0,80.0,80.0,20.0
ITEM-00063,轻松｜愉悦,16,0.1875,0.25,0.875,0.5625,0.6875,1.0625,18.75,25.0,87.5,56.25,68.75
ITEM-00064,释然｜愉悦,18,0.16666666666666666,0.2222222222222222,0.7222222222222222,0.4722222222222222,0.6666666666666666,1.0555555555555556,16.666666666666664,22.22222222222222,72.22222222222221,47.22222222222222,66.66666666666666
ITEM-00065,悲伤｜遗憾｜感动｜释然,20,0.0,0.0,1.0,0.4375,0.45,0.65,0.0,0.0,100.0,43.75,45.0
ITEM-00066,渴望｜痛苦｜悲伤｜绝望,17,0.0,0.11764705882352941,0.9411764705882353,0.6029411764705882,0.35294117647058826,0.4117647058823529,0.0,11.76470588235294,94.11764705882352,60.29411764705882,35.294117647058826
ITEM-00067,震惊,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,44.44444444444444
ITEM-00068,厌恶｜不屑,35,0.17142857142857143,0.4,0.8285714285714286,0.6142857142857143,0.6,0.7714285714285715,17.142857142857142,40.0,82.85714285714286,61.42857142857143,60.0
ITEM-00069,感激｜爱｜愉悦,24,0.041666666666666664,0.125,0.9583333333333334,0.5694444444444444,0.4583333333333333,0.5416666666666666,4.166666666666666,12.5,95.83333333333334,56.94444444444444,45.83333333333333
ITEM-00070,困惑｜痛苦,37,0.16216216216216217,0.40540540540540543,0.972972972972973,0.6891891891891893,0.6486486486486487,1.027027027027027,16.216216216216218,40.54054054054054,97.2972972972973,68.91891891891892,64.86486486486487
ITEM-00071,失望｜震惊,18,0.05555555555555555,0.16666666666666666,0.8888888888888888,0.5277777777777778,0.8888888888888888,1.3333333333333333,5.555555555555555,16.666666666666664,88.88888888888889,52.77777777777778,88.88888888888889
ITEM-00072,满足｜轻松｜愉悦｜希望｜兴趣,26,0.038461538461538464,0.038461538461538464,1.0,0.5,0.34615384615384615,0.4230769230769231,3.8461538461538463,3.8461538461538463,100.0,50.0,34.61538461538461
ITEM-00073,感动｜爱,19,0.15789473684210525,0.2631578947368421,0.8421052631578947,0.5526315789473684,0.5789473684210527,0.8947368421052632,15.789473684210526,26.31578947368421,84.21052631578947,55.263157894736835,57.89473684210527
ITEM-00074,自豪,14,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.21428571428571427,0.21428571428571427,78.57142857142857,78.57142857142857,78.57142857142857,78.57142857142857,21.428571428571427
ITEM-00075,震惊｜愤怒,29,0.10344827586206896,0.41379310344827586,0.8620689655172413,0.6379310344827587,0.6551724137931034,1.0,10.344827586206897,41.37931034482759,86.20689655172413,63.793103448275865,65.51724137931035
ITEM-00076,羞耻｜烦躁,24,0.0,0.125,0.6666666666666666,0.3958333333333333,0.8333333333333334,1.3333333333333333,0.0,12.5,66.66666666666666,39.58333333333333,83.33333333333334
ITEM-00077,烦躁｜厌倦,26,0.11538461538461539,0.4230769230769231,0.8076923076923077,0.6153846153846154,0.7307692307692307,0.8461538461538461,11.538461538461538,42.30769230769231,80.76923076923077,61.53846153846154,73.07692307692307
ITEM-00078,内疚｜悲伤,64,0.046875,0.21875,0.859375,0.5390625,0.703125,1.09375,4.6875,21.875,85.9375,53.90625,70.3125
ITEM-00079,委屈｜悲伤,34,0.08823529411764706,0.38235294117647056,0.8823529411764706,0.6323529411764706,0.7058823529411765,1.088235294117647,8.823529411764707,38.23529411764706,88.23529411764706,63.23529411764706,70.58823529411765
ITEM-00080,怀旧｜感动｜愉悦｜遗憾,35,0.0,0.0,0.9142857142857143,0.36428571428571427,0.5714285714285714,0.7714285714285715,0.0,0.0,91.42857142857143,36.42857142857142,57.14285714285714
ITEM-00081,审美欣赏｜怀旧,26,0.15384615384615385,0.4230769230769231,0.9230769230769231,0.6730769230769231,0.6923076923076923,0.9230769230769231,15.384615384615385,42.30769230769231,92.3076923076923,67.3076923076923,69.23076923076923
ITEM-00082,焦虑｜紧张,15,0.2,0.5333333333333333,0.8666666666666667,0.7,0.6666666666666666,0.9333333333333333,20.0,53.333333333333336,86.66666666666667,70.0,66.66666666666666
ITEM-00083,爱｜释然,19,0.05263157894736842,0.21052631578947367,0.9473684210526315,0.5789473684210527,0.7368421052631579,1.0,5.263157894736842,21.052631578947366,94.73684210526315,57.89473684210527,73.68421052631578
ITEM-00084,羞耻｜烦躁,43,0.046511627906976744,0.16279069767441862,0.5581395348837209,0.36046511627906974,0.8372093023255814,1.4186046511627908,4.651162790697675,16.27906976744186,55.81395348837209,36.04651162790697,83.72093023255815
ITEM-00085,自豪｜兴奋,13,0.3076923076923077,0.9230769230769231,1.0,0.9615384615384616,0.6923076923076923,1.0769230769230769,30.76923076923077,92.3076923076923,100.0,96.15384615384616,69.23076923076923
ITEM-00086,烦躁｜厌倦,51,0.23529411764705882,0.5098039215686274,0.9019607843137255,0.7058823529411764,0.5098039215686274,0.7254901960784313,23.52941176470588,50.98039215686274,90.19607843137256,70.58823529411764,50.98039215686274
ITEM-00087,兴奋｜爱｜惊喜,17,0.11764705882352941,0.4117647058823529,0.9411764705882353,0.7058823529411765,0.7647058823529411,1.1764705882352942,11.76470588235294,41.17647058823529,94.11764705882352,70.58823529411765,76.47058823529412
ITEM-00088,快乐｜惊喜｜兴奋｜爱,24,0.375,0.5,1.0,0.8229166666666666,0.16666666666666666,0.16666666666666666,37.5,50.0,100.0,82.29166666666666,16.666666666666664
ITEM-00089,担忧｜同情｜悲伤,19,0.05263157894736842,0.3684210526315789,1.0,0.7192982456140351,0.5263157894736842,0.8947368421052632,5.263157894736842,36.84210526315789,100.0,71.9298245614035,52.63157894736842
ITEM-00090,怨恨｜失望,29,0.13793103448275862,0.6551724137931034,0.9310344827586207,0.7931034482758621,0.7241379310344828,1.206896551724138,13.793103448275861,65.51724137931035,93.10344827586206,79.3103448275862,72.41379310344827
ITEM-00091,内疚｜痛苦,28,0.25,0.42857142857142855,0.8571428571428571,0.6428571428571428,0.6785714285714286,1.0357142857142858,25.0,42.857142857142854,85.71428571428571,64.28571428571428,67.85714285714286
ITEM-00092,内疚｜痛苦｜悲伤,28,0.35714285714285715,0.5714285714285714,0.9285714285714286,0.7857142857142857,0.4642857142857143,0.5357142857142857,35.714285714285715,57.14285714285714,92.85714285714286,78.57142857142857,46.42857142857143
ITEM-00093,委屈｜悲伤,36,0.2222222222222222,0.5833333333333334,0.8611111111111112,0.7222222222222222,0.6666666666666666,0.9444444444444444,22.22222222222222,58.333333333333336,86.11111111111111,72.22222222222221,66.66666666666666
ITEM-00094,渴望｜兴趣,23,0.08695652173913043,0.17391304347826086,0.6086956521739131,0.3913043478260869,0.782608695652174,0.9565217391304348,8.695652173913043,17.391304347826086,60.86956521739131,39.13043478260869,78.26086956521739
ITEM-00095,内疚｜痛苦,28,0.32142857142857145,0.75,1.0,0.875,0.5714285714285714,0.8214285714285714,32.142857142857146,75.0,100.0,87.5,57.14285714285714
ITEM-00096,审美欣赏｜愉悦,40,0.15,0.55,0.95,0.75,0.625,1.15,15.0,55.00000000000001,95.0,75.0,62.5
ITEM-00097,轻松｜快乐,36,0.1111111111111111,0.19444444444444445,0.5555555555555556,0.375,0.75,1.2222222222222223,11.11111111111111,19.444444444444446,55.55555555555556,37.5,75.0
ITEM-00098,感激｜自豪｜满足,28,0.03571428571428571,0.17857142857142858,0.8571428571428571,0.5,0.5,0.7142857142857143,3.571428571428571,17.857142857142858,85.71428571428571,50.0,50.0
ITEM-00100,不屑｜得意,33,0.15151515151515152,0.42424242424242425,0.7575757575757576,0.5909090909090909,0.7575757575757576,1.2424242424242424,15.151515151515152,42.42424242424242,75.75757575757575,59.09090909090909,75.75757575757575
ITEM-00101,尴尬｜困惑,28,0.17857142857142858,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.9285714285714286,17.857142857142858,42.857142857142854,71.42857142857143,57.14285714285714,64.28571428571429
ITEM-00102,愤怒｜烦躁,35,0.22857142857142856,0.6571428571428571,0.8571428571428571,0.7571428571428571,0.6857142857142857,0.8285714285714286,22.857142857142858,65.71428571428571,85.71428571428571,75.71428571428571,68.57142857142857
ITEM-00104,兴奋,27,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.037037037037037035,0.037037037037037035,96.29629629629629,96.29629629629629,96.29629629629629,96.29629629629629,3.7037037037037033
ITEM-00105,焦虑｜紧张｜内疚,41,0.04878048780487805,0.14634146341463414,0.8780487804878049,0.5040650406504065,0.5853658536585366,0.8536585365853658,4.878048780487805,14.634146341463413,87.8048780487805,50.40650406504065,58.536585365853654
ITEM-00106,快乐,31,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.5161290322580645,0.5161290322580645,48.38709677419355,48.38709677419355,48.38709677419355,48.38709677419355,51.61290322580645
ITEM-00107,快乐｜满足｜感动,25,0.04,0.12,0.84,0.48000000000000004,0.64,1.0,4.0,12.0,84.0,48.00000000000001,64.0
ITEM-00108,痛苦｜抑郁,35,0.08571428571428572,0.2857142857142857,0.6285714285714286,0.45714285714285713,0.8285714285714286,1.5142857142857142,8.571428571428571,28.57142857142857,62.857142857142854,45.714285714285715,82.85714285714286
ITEM-00109,厌倦｜困惑,49,0.061224489795918366,0.20408163265306123,0.6938775510204082,0.44897959183673464,0.8367346938775511,1.183673469387755,6.122448979591836,20.408163265306122,69.38775510204081,44.897959183673464,83.6734693877551
ITEM-00110,痛苦｜抑郁,32,0.0,0.28125,0.78125,0.53125,0.9375,1.34375,0.0,28.125,78.125,53.125,93.75
ITEM-00111,无奈,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,41.66666666666667
ITEM-00112,烦躁,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0
ITEM-00113,共情痛苦,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,85.71428571428571
ITEM-00114,遗憾,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.8888888888888888,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,88.88888888888889
ITEM-00115,震惊,10,0.8,0.8,0.8,0.8,0.2,0.2,80.0,80.0,80.0,80.0,20.0
ITEM-00116,悲伤,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,41.66666666666667
ITEM-00117,焦虑,10,0.2,0.2,0.2,0.2,0.8,0.8,20.0,20.0,20.0,20.0,80.0
ITEM-00118,困惑,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.6363636363636364,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,63.63636363636363
ITEM-00119,厌倦,8,0.25,0.25,0.25,0.25,0.75,0.75,25.0,25.0,25.0,25.0,75.0
ITEM-00120,紧张,8,0.125,0.125,0.125,0.125,0.875,0.875,12.5,12.5,12.5,12.5,87.5
ITEM-00121,惊讶,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,28.57142857142857
ITEM-00122,羡慕,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.6363636363636364,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,63.63636363636363
ITEM-00123,绝望,41,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.36585365853658536,0.36585365853658536,63.41463414634146,63.41463414634146,63.41463414634146,63.41463414634146,36.58536585365854
ITEM-00124,释然,39,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333
ITEM-00125,感激｜愉悦｜不屑,26,0.15384615384615385,0.23076923076923078,1.0,0.641025641025641,0.7307692307692307,1.1538461538461537,15.384615384615385,23.076923076923077,100.0,64.1025641025641,73.07692307692307
ITEM-00126,惊讶｜愉悦,17,0.0,0.11764705882352941,0.7647058823529411,0.4411764705882353,0.8235294117647058,1.5294117647058822,0.0,11.76470588235294,76.47058823529412,44.11764705882353,82.35294117647058
ITEM-00127,震惊｜蔑视｜同情,20,0.05,0.05,0.9,0.45,0.8,1.0,5.0,5.0,90.0,45.0,80.0
ITEM-00128,兴奋｜期望,17,0.17647058823529413,0.35294117647058826,0.8823529411764706,0.6176470588235294,0.6470588235294118,1.0588235294117647,17.647058823529413,35.294117647058826,88.23529411764706,61.76470588235294,64.70588235294117
ITEM-00129,不屑｜敌意,21,0.19047619047619047,0.2857142857142857,0.7142857142857143,0.5,0.7142857142857143,0.9523809523809523,19.047619047619047,28.57142857142857,71.42857142857143,50.0,71.42857142857143
ITEM-00130,愤怒｜震惊,19,0.10526315789473684,0.21052631578947367,0.8947368421052632,0.5526315789473684,0.5789473684210527,0.7368421052631579,10.526315789473683,21.052631578947366,89.47368421052632,55.263157894736835,57.89473684210527
ITEM-00131,兴奋｜愉悦,14,0.07142857142857142,0.5,0.8571428571428571,0.6785714285714286,0.7142857142857143,1.2142857142857142,7.142857142857142,50.0,85.71428571428571,67.85714285714286,71.42857142857143
ITEM-00132,平静｜恭敬,14,0.14285714285714285,0.35714285714285715,1.0,0.6785714285714286,0.6428571428571429,1.2142857142857142,14.285714285714285,35.714285714285715,100.0,67.85714285714286,64.28571428571429
ITEM-00133,平静｜期待,11,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.9090909090909091,1.4545454545454546,9.090909090909092,36.36363636363637,54.54545454545454,45.45454545454545,90.9090909090909
ITEM-00134,不屑｜敌意,34,0.20588235294117646,0.6470588235294118,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.8529411764705882,20.588235294117645,64.70588235294117,88.23529411764706,76.47058823529412,70.58823529411765
ITEM-00135,不屑｜惊吓,39,0.05128205128205128,0.20512820512820512,0.8461538461538461,0.5256410256410257,0.9230769230769231,1.5384615384615385,5.128205128205128,20.51282051282051,84.61538461538461,52.56410256410257,92.3076923076923
ITEM-00136,委屈｜恐惧｜不屑,21,0.047619047619047616,0.19047619047619047,0.9047619047619048,0.5873015873015873,0.6666666666666666,0.7619047619047619,4.761904761904762,19.047619047619047,90.47619047619048,58.730158730158735,66.66666666666666
ITEM-00137,愤怒｜轻视,33,0.15151515151515152,0.5151515151515151,0.9393939393939394,0.7272727272727273,0.6666666666666666,0.9393939393939394,15.151515151515152,51.515151515151516,93.93939393939394,72.72727272727273,66.66666666666666
ITEM-00138,不屑｜可惜,37,0.0,0.05405405405405406,0.5135135135135135,0.28378378378378377,0.9459459459459459,1.2972972972972974,0.0,5.405405405405405,51.35135135135135,28.37837837837838,94.5945945945946
ITEM-00139,焦虑｜敬畏,64,0.03125,0.109375,0.703125,0.40625,0.65625,0.890625,3.125,10.9375,70.3125,40.625,65.625
ITEM-00140,惊喜｜兴奋,48,0.14583333333333334,0.4375,0.8958333333333334,0.6666666666666667,0.6666666666666666,0.9583333333333334,14.583333333333334,43.75,89.58333333333334,66.66666666666667,66.66666666666666
ITEM-00141,愤怒｜惊讶,48,0.08333333333333333,0.22916666666666666,0.875,0.5520833333333334,0.625,0.9166666666666666,8.333333333333332,22.916666666666664,87.5,55.208333333333336,62.5
ITEM-00142,敌意,33,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.6060606060606061,0.6060606060606061,39.39393939393939,39.39393939393939,39.39393939393939,39.39393939393939,60.60606060606061
ITEM-00143,不屑,37,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.7027027027027027,0.7027027027027027,29.72972972972973,29.72972972972973,29.72972972972973,29.72972972972973,70.27027027027027
