题目编号,题目标题,选项,是否原题答案选项,选项性质,选择人数,有效作答人数,选择概率_选择人数除以该题作答人数,选择百分比_选择人数除以该题作答人数,情绪出现在本题候选情绪中的次数,被选数/出现数,被选数/出现数百分比,是否零选择选项,分析口径
ITEM-00002,6,自豪,False,非答案候选选项,0,30,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,蔑视,False,非答案候选选项,0,30,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,轻松,False,非答案候选选项,0,30,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,遗憾,False,非答案候选选项,0,30,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,释然,False,非答案候选选项,0,30,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,震惊,False,非答案候选选项,0,30,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,好奇,False,非答案候选选项,1,3,0.3333333333333333,33.33333333333333,1,1.0,100.0,False,按实际呈现人数
ITEM-00003,21,遗憾,True,标准答案选项,2,3,0.6666666666666666,66.66666666666666,3,0.6666666666666666,66.66666666666666,False,按实际呈现人数
ITEM-00003,21,共情痛苦,False,非答案候选选项,0,3,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,兴奋,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,内疚,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,厌恶,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,困惑,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,嫉妒,False,非答案候选选项,0,3,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,尴尬,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,崇拜,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,怨恨,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,惊喜,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,惊讶,False,非答案候选选项,0,3,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,愁闷,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,感动,False,非答案候选选项,0,3,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,感激,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,抑郁,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,爱,False,非答案候选选项,0,3,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,绝望,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,自满,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,蔑视,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00003,21,震惊,False,非答案候选选项,0,3,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,尴尬,True,标准答案选项,26,34,0.7647058823529411,76.47058823529412,34,0.7647058823529411,76.47058823529412,False,按实际呈现人数
ITEM-00004,62,平静,False,非答案候选选项,1,34,0.029411764705882353,2.941176470588235,2,0.5,50.0,False,按实际呈现人数
ITEM-00004,62,怀旧,False,非答案候选选项,1,34,0.029411764705882353,2.941176470588235,4,0.25,25.0,False,按实际呈现人数
ITEM-00004,62,审美欣赏,False,非答案候选选项,1,34,0.029411764705882353,2.941176470588235,7,0.14285714285714285,14.285714285714285,False,按实际呈现人数
ITEM-00004,62,释然,False,非答案候选选项,1,34,0.029411764705882353,2.941176470588235,7,0.14285714285714285,14.285714285714285,False,按实际呈现人数
ITEM-00004,62,震惊,False,非答案候选选项,1,34,0.029411764705882353,2.941176470588235,7,0.14285714285714285,14.285714285714285,False,按实际呈现人数
ITEM-00004,62,渴望,False,非答案候选选项,1,34,0.029411764705882353,2.941176470588235,8,0.125,12.5,False,按实际呈现人数
ITEM-00004,62,遗憾,False,非答案候选选项,1,34,0.029411764705882353,2.941176470588235,8,0.125,12.5,False,按实际呈现人数
ITEM-00004,62,冷静,False,非答案候选选项,1,34,0.029411764705882353,2.941176470588235,9,0.1111111111111111,11.11111111111111,False,按实际呈现人数
ITEM-00004,62,不屑,False,非答案候选选项,0,34,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,共情痛苦,False,非答案候选选项,0,34,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,兴奋,False,非答案候选选项,0,34,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,兴趣,False,非答案候选选项,0,34,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,内疚,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,厌倦,False,非答案候选选项,0,34,0.0,0.0,10,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,厌恶,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,困惑,False,非答案候选选项,0,34,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,失望,False,非答案候选选项,0,34,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,好奇,False,非答案候选选项,0,34,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,委屈,False,非答案候选选项,0,34,0.0,0.0,8,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,嫉妒,False,非答案候选选项,0,34,0.0,0.0,8,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,崇拜,False,非答案候选选项,0,34,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,希望,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,快乐,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,怨恨,False,非答案候选选项,0,34,0.0,0.0,9,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,恐惧,False,非答案候选选项,0,34,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,悲伤,False,非答案候选选项,0,34,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,惊喜,False,非答案候选选项,0,34,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,惊讶,False,非答案候选选项,0,34,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,愁闷,False,非答案候选选项,0,34,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,愉悦,False,非答案候选选项,0,34,0.0,0.0,9,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,感动,False,非答案候选选项,0,34,0.0,0.0,9,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,感激,False,非答案候选选项,0,34,0.0,0.0,8,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,愤怒,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,抑郁,False,非答案候选选项,0,34,0.0,0.0,9,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,担忧,False,非答案候选选项,0,34,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,敌意,False,非答案候选选项,0,34,0.0,0.0,9,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,满足,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,烦躁,False,非答案候选选项,0,34,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,焦虑,False,非答案候选选项,0,34,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,爱,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,痛苦,False,非答案候选选项,0,34,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,紧张,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,绝望,False,非答案候选选项,0,34,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,羞耻,False,非答案候选选项,0,34,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,羡慕,False,非答案候选选项,0,34,0.0,0.0,10,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,自满,False,非答案候选选项,0,34,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,自豪,False,非答案候选选项,0,34,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,蔑视,False,非答案候选选项,0,34,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00004,62,轻松,False,非答案候选选项,0,34,0.0,0.0,9,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,尴尬,False,非答案候选选项,1,8,0.125,12.5,1,1.0,100.0,False,按实际呈现人数
ITEM-00005,70,好奇,False,非答案候选选项,1,8,0.125,12.5,2,0.5,50.0,False,按实际呈现人数
ITEM-00005,70,审美欣赏,True,标准答案选项,4,8,0.5,50.0,8,0.5,50.0,False,按实际呈现人数
ITEM-00005,70,渴望,False,非答案候选选项,1,8,0.125,12.5,2,0.5,50.0,False,按实际呈现人数
ITEM-00005,70,惊讶,False,非答案候选选项,1,8,0.125,12.5,3,0.3333333333333333,33.33333333333333,False,按实际呈现人数
ITEM-00005,70,不屑,False,非答案候选选项,0,8,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,兴奋,False,非答案候选选项,0,8,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,内疚,False,非答案候选选项,0,8,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,厌倦,False,非答案候选选项,0,8,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,厌恶,False,非答案候选选项,0,8,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,困惑,False,非答案候选选项,0,8,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,失望,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,嫉妒,False,非答案候选选项,0,8,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,崇拜,False,非答案候选选项,0,8,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,怀旧,False,非答案候选选项,0,8,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,怨恨,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,恐惧,False,非答案候选选项,0,8,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,悲伤,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,愁闷,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,愉悦,False,非答案候选选项,0,8,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,感动,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,感激,False,非答案候选选项,0,8,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,愤怒,False,非答案候选选项,0,8,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,抑郁,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,敌意,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,烦躁,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,焦虑,False,非答案候选选项,0,8,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,爱,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,绝望,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,羞耻,False,非答案候选选项,0,8,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,羡慕,False,非答案候选选项,0,8,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,自豪,False,非答案候选选项,0,8,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,轻松,False,非答案候选选项,0,8,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00005,70,遗憾,False,非答案候选选项,0,8,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,紧张,True,标准答案选项,5,6,0.8333333333333334,83.33333333333334,6,0.8333333333333334,83.33333333333334,False,按实际呈现人数
ITEM-00006,28,失望,False,非答案候选选项,1,6,0.16666666666666666,16.666666666666664,3,0.3333333333333333,33.33333333333333,False,按实际呈现人数
ITEM-00006,28,不屑,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,共情痛苦,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,兴奋,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,兴趣,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,冷静,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,厌恶,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,好奇,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,委屈,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,嫉妒,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,崇拜,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,希望,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,平静,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,快乐,False,非答案候选选项,0,6,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,怨恨,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,恐惧,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,悲伤,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,惊喜,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,惊讶,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,愁闷,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,愉悦,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,感激,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,愤怒,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,敌意,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,渴望,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,满足,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,烦躁,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,焦虑,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,痛苦,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,绝望,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,羞耻,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,羡慕,False,非答案候选选项,0,6,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,自满,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,蔑视,False,非答案候选选项,0,6,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,轻松,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,释然,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00006,28,震惊,False,非答案候选选项,0,6,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00007,29,愁闷,False,非答案候选选项,1,13,0.07692307692307693,7.6923076923076925,1,1.0,100.0,False,按实际呈现人数
ITEM-00007,29,困惑,False,非答案候选选项,1,13,0.07692307692307693,7.6923076923076925,2,0.5,50.0,False,按实际呈现人数
ITEM-00007,29,焦虑,False,非答案候选选项,1,13,0.07692307692307693,7.6923076923076925,2,0.5,50.0,False,按实际呈现人数
ITEM-00007,29,共情痛苦,False,非答案候选选项,2,13,0.15384615384615385,15.384615384615385,5,0.4,40.0,False,按实际呈现人数
ITEM-00007,29,痛苦,False,非答案候选选项,2,13,0.15384615384615385,15.384615384615385,5,0.4,40.0,False,按实际呈现人数
