题目编号,有效作答人数,严格完全识别率,完全识别率95%区间下限,完全识别率95%区间上限,平均部分标签得分,平均标签召回率,平均标签准确率,平均Jaccard相似度,平均非标准标签误选率,同能力校正题总相关,高低27%组D值,平均作答时间（秒）,作答时间中位数（秒）,题目标题,素材模态,能力类型,选项形式,每卷组合配额,组合题库数,期望作答人数,实际期望比,抽题组合,最高频选择,最高频选择率,标准情绪,最高频选择是否为标准情绪,统计初筛建议,专家复核结论,最终决策,复核备注
ITEM-00065,20.0,0.0,0.0,0.16112516018512965,0.53452,0.4375,0.7966666666666666,0.3863095238095239,0.2033333333333333,,0.0,21.435499999999998,19.060000000000002,112,图像,情绪识别,多选题,3,22,17.454545454545453,1.1458333333333335,图像 / 多选题 / 情绪识别,悲伤,0.75,悲伤｜遗憾｜感动｜释然,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00051,15.0,0.4666666666666667,0.24809535232620925,0.6988302012468901,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.22303564279994298,0.25,18.505333333333333,16.39,93,图像,情绪识别,单选题,2,28,9.142857142857142,1.640625,图像 / 单选题 / 情绪识别,悲伤,0.4666666666666667,悲伤,True,暂时保留,待填写,待填写,待填写
ITEM-00149,33.0,0.36363636363636365,0.22187178144210248,0.5338382182894987,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.08280786712108253,0.125,62.39727272727273,58.29,60,视频,情绪推理,单选题,1,4,32.0,1.03125,视频 / 单选题 / 情绪推理,担忧,0.36363636363636365,担忧,True,低区分度：内容审查并考虑补测,待填写,待填写,待填写
ITEM-00064,18.0,0.16666666666666666,0.05836576760185505,0.39222038302033446,0.4759333333333334,0.4722222222222222,0.5185185185185185,0.38425925925925924,0.48148148148148145,0.09503819266229832,0.0,15.04888888888889,14.690000000000001,111,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别,愉悦,0.5555555555555556,释然｜愉悦,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00092,28.0,0.35714285714285715,0.20705829414358318,0.5416969362676942,0.7786535714285715,0.7857142857142857,0.8041666666666666,0.7000000000000001,0.19583333333333333,0.1754116038614058,0.2857142857142857,49.84035714285715,48.47,66,音频,情绪识别,多选题,2,9,28.444444444444443,0.984375,音频 / 多选题 / 情绪识别,悲伤,0.8928571428571429,内疚｜痛苦｜悲伤,True,暂时保留,待填写,待填写,待填写
ITEM-00100,33.0,0.15151515151515152,0.06650457239529714,0.30919876025212834,0.5303090909090908,0.5909090909090909,0.5151515151515151,0.43686868686868685,0.48484848484848486,0.11838063674131646,0.0,52.83787878787879,59.61,10,视频,情绪推理,多选题,2,8,32.0,1.03125,视频 / 多选题 / 情绪推理,不屑,0.6060606060606061,不屑｜得意,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00095,28.0,0.32142857142857145,0.179332468369093,0.5066115696450038,0.7787464285714284,0.875,0.7464285714285713,0.6779761904761904,0.25357142857142856,0.057655006053175306,-0.14285714285714285,37.54214285714285,35.04,59,文本,情绪识别,多选题,3,12,32.0,0.875,文本 / 多选题 / 情绪识别,内疚,0.9285714285714286,内疚｜痛苦,True,低区分度：内容审查并考虑补测,待填写,待填写,待填写
ITEM-00123,41.0,0.6341463414634146,0.4812070096864851,0.7641016906642135,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.36585365853658536,-0.04062531738653189,-0.18181818181818188,25.943902439024384,23.63,8,音频,情绪识别,单选题,2,7,36.57142857142857,1.12109375,音频 / 单选题 / 情绪识别,绝望,0.6341463414634146,绝望,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00048,34.0,0.7058823529411765,0.5383109006960254,0.8316536940601198,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.1630732928246831,0.33333333333333326,44.43470588235294,40.790000000000006,2,音频,情绪识别,单选题,2,7,36.57142857142857,0.9296875,音频 / 单选题 / 情绪识别,愤怒,0.7058823529411765,愤怒,True,暂时保留,待填写,待填写,待填写
ITEM-00130,19.0,0.10526315789473684,0.029358560033196812,0.31394082911909027,0.5701842105263158,0.5526315789473685,0.6535087719298245,0.4447368421052631,0.3464912280701754,0.441629950809726,0.4,16.874210526315792,17.04,104,图像,情绪识别,多选题,3,22,17.454545454545453,1.0885416666666667,图像 / 多选题 / 情绪识别,震惊,0.8421052631578947,愤怒｜震惊,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00027,8.0,0.5,0.21521606069626764,0.7847839393037324,0.5,0.5,0.5,0.5,0.5,0.41812100500354543,0.5,40.22375,38.254999999999995,83,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别,快乐,0.5,快乐,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00139,64.0,0.03125,0.008612138268632274,0.10697291857715885,0.42798593749999997,0.40625,0.5158854166666667,0.3192708333333333,0.48411458333333335,0.09956278193761042,0.058823529411764705,26.2546875,22.04,37,图像,情绪推理,多选题,1,2,64.0,1.0,图像 / 多选题 / 情绪推理,敬畏,0.640625,焦虑｜敬畏,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00142,33.0,0.3939393939393939,0.24683107337806381,0.5631655930798483,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.6060606060606061,0.13157104829118277,0.125,29.992121212121212,29.34,68,文本,情绪推理,单选题,1,4,32.0,1.03125,文本 / 单选题 / 情绪推理,敌意,0.3939393939393939,敌意,True,低区分度：内容审查并考虑补测,待填写,待填写,待填写
ITEM-00138,37.0,0.0,0.0,0.09405782718146873,0.2648675675675676,0.28378378378378377,0.26801801801801806,0.18108108108108106,0.731981981981982,,0.0,63.70081081081081,62.23,22,音频,情绪推理,多选题,2,6,42.666666666666664,0.8671875,音频 / 多选题 / 情绪推理,可惜,0.40540540540540543,不屑｜可惜,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00037,14.0,0.7142857142857143,0.45350915474002584,0.8827862143729825,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,-0.512989176042577,-0.33333333333333337,20.59357142857143,17.35,50,文本,情绪识别,单选题,1,10,12.8,1.09375,文本 / 单选题 / 情绪识别,蔑视,0.7142857142857143,蔑视,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00057,33.0,0.6363636363636364,0.46616178171050116,0.7781282185578974,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.44540965473201055,0.375,36.079090909090915,32.24,23,音频,情绪识别,单选题,2,7,36.57142857142857,0.90234375,音频 / 单选题 / 情绪识别,惊喜,0.6363636363636364,惊喜,True,暂时保留,待填写,待填写,待填写
ITEM-00007,13.0,0.15384615384615385,0.04325817796522907,0.4223463125106327,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.8461538461538461,0.40766797987845693,0.3333333333333333,17.256153846153843,13.18,29,图像,情绪识别,单选题,2,28,9.142857142857142,1.421875,图像 / 单选题 / 情绪识别,共情痛苦,0.15384615384615385,惊讶,False,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00009,35.0,0.4,0.2555072876325803,0.5642729111134861,0.4,0.4,0.4,0.4,0.6,-0.1687124501902926,-0.1111111111111111,29.168857142857142,23.96,7,音频,情绪识别,单选题,2,7,36.57142857142857,0.95703125,音频 / 单选题 / 情绪识别,紧张,0.4,紧张,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00125,26.0,0.15384615384615385,0.06150033680770284,0.3353119949351658,0.6331538461538462,0.641025641025641,0.6647435897435897,0.5042124542124541,0.3352564102564103,0.28597969616233315,0.14285714285714285,48.13884615384615,45.115,85,视频,情绪识别,多选题,2,13,19.692307692307693,1.3203125,视频 / 多选题 / 情绪识别,感激,0.8846153846153846,感激｜愉悦｜不屑,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00015,6.0,0.16666666666666666,0.030053369411815023,0.5635028250257673,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.19999999999999996,0.0,47.055,40.265,4,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别,悲伤,0.16666666666666666,绝望,False,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00077,26.0,0.11538461538461539,0.040032445923591814,0.28975903379070655,0.5668538461538463,0.6153846153846154,0.573076923076923,0.4608974358974359,0.4269230769230769,0.1272782476224293,0.14285714285714285,36.98307692307692,29.285,79,音频,情绪识别,多选题,2,9,28.444444444444443,0.9140625,音频 / 多选题 / 情绪识别,烦躁,0.7307692307692307,烦躁｜厌倦,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00097,36.0,0.1111111111111111,0.04406640269669905,0.253148087279096,0.35436944444444446,0.375,0.38009259259259254,0.2828703703703704,0.6199074074074074,0.4134932196668674,0.3333333333333333,37.869722222222215,32.254999999999995,82,文本,情绪识别,多选题,3,12,32.0,1.125,文本 / 多选题 / 情绪识别,轻松,0.5277777777777778,轻松｜快乐,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00046,12.0,0.0,0.0,0.2424940095530979,0.5531833333333332,0.625,0.5750000000000001,0.4222222222222222,0.425,,0.0,22.88,21.865,89,图像,情绪识别,多选题,3,22,17.454545454545453,0.6875,图像 / 多选题 / 情绪识别,悲伤,0.8333333333333334,内疚｜悲伤,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00094,23.0,0.08695652173913043,0.02418000426569175,0.2679598125741516,0.3898608695652174,0.391304347826087,0.4202898550724638,0.30434782608695654,0.5797101449275363,0.2059534650002201,0.16666666666666666,45.529999999999994,44.52,88,音频,情绪识别,多选题,2,9,28.444444444444443,0.80859375,音频 / 多选题 / 情绪识别,兴趣,0.5652173913043478,渴望｜兴趣,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00084,43.0,0.046511627906976744,0.012849259978574556,0.1545549812336292,0.3230372093023256,0.36046511627906974,0.3317829457364341,0.24341085271317825,0.6682170542635659,0.5438063707755737,0.18181818181818182,32.731162790697674,25.69,78,音频,情绪推理,多选题,2,6,42.666666666666664,1.0078125,音频 / 多选题 / 情绪推理,烦躁,0.5581395348837209,羞耻｜烦躁,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00073,19.0,0.15789473684210525,0.055204715953508426,0.3756547546451403,0.5491315789473684,0.5526315789473685,0.6096491228070174,0.4403508771929825,0.39035087719298245,-0.1338679054655897,0.0,22.241052631578945,16.11,107,图像,情绪识别,多选题,3,22,17.454545454545453,1.0885416666666667,图像 / 多选题 / 情绪识别,感动,0.8421052631578947,感动｜爱,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00004,34.0,0.7647058823529411,0.6000386193800363,0.8756301453064358,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.23529411764705882,0.31972302976870837,0.33333333333333337,29.43676470588235,26.295,62,视频,情绪推理,单选题,1,4,32.0,1.0625,视频 / 单选题 / 情绪推理,尴尬,0.7647058823529411,尴尬,True,暂时保留,待填写,待填写,待填写
ITEM-00140,48.0,0.14583333333333334,0.07248249287149067,0.27167176640868296,0.6086354166666667,0.6666666666666666,0.6204861111111111,0.4927083333333333,0.3795138888888889,0.03492342810393488,0.0,27.485833333333332,24.104999999999997,63,文本,情绪推理,多选题,1,3,42.666666666666664,1.125,文本 / 多选题 / 情绪推理,惊喜,0.8125,惊喜｜兴奋,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00115,10.0,0.8,0.4901624691221323,0.9433178490622331,0.8,0.8,0.8,0.8,0.2,-0.025351006328169633,0.0,13.912,13.27,39,图像,情绪识别,单选题,2,28,9.142857142857142,1.09375,图像 / 单选题 / 情绪识别,震惊,0.8,震惊,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00143,37.0,0.2972972972972973,0.1748947857415188,0.45783136041313083,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.7027027027027027,0.010679661039879442,-0.1111111111111111,36.183783783783774,29.16,71,文本,情绪推理,单选题,1,4,32.0,1.15625,文本 / 单选题 / 情绪推理,不屑,0.2972972972972973,不屑,True,低区分度：内容审查并考虑补测,待填写,待填写,待填写
ITEM-00108,35.0,0.08571428571428572,0.02958236803634305,0.22379274105450336,0.39660000000000006,0.45714285714285713,0.38666666666666666,0.3104761904761905,0.6133333333333334,0.25045486009735757,0.1111111111111111,50.21828571428572,39.23,59,音频,情绪推理,多选题,2,6,42.666666666666664,0.8203125,音频 / 多选题 / 情绪推理,痛苦,0.6,痛苦｜抑郁,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00106,31.0,0.4838709677419355,0.31970251448435416,0.651596046709453,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.5161290322580645,-0.005002501876563878,0.125,49.545483870967736,35.59,77,视频,情绪推理,单选题,1,4,32.0,0.96875,视频 / 单选题 / 情绪推理,快乐,0.4838709677419355,快乐,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00107,25.0,0.04,0.007096233423382073,0.1954406391161776,0.507716,0.4799999999999999,0.6199999999999999,0.38666666666666655,0.38000000000000006,0.3703064483257642,0.16666666666666666,40.9576,37.51,81,视频,情绪推理,多选题,2,8,32.0,0.78125,视频 / 多选题 / 情绪推理,快乐,0.76,快乐｜满足｜感动,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00020,10.0,0.5,0.23659308901147935,0.7634069109885206,0.5,0.5,0.5,0.5,0.5,0.40451991747794536,0.0,40.983000000000004,37.7,13,视频,情绪识别,单选题,1,19,6.7368421052631575,1.484375,视频 / 单选题 / 情绪识别,尴尬,0.5,尴尬,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00072,26.0,0.038461538461538464,0.006821984917985538,0.18892779073917254,0.6071038461538462,0.5,0.8743589743589744,0.46849816849816855,0.12564102564102567,-0.18107829218409172,-0.14285714285714285,29.19884615384615,22.875,120,文本,情绪识别,多选题,3,12,32.0,0.8125,文本 / 多选题 / 情绪识别,轻松,0.8461538461538461,满足｜轻松｜愉悦｜希望｜兴趣,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00079,34.0,0.08823529411764706,0.030465943437106874,0.22960486705060304,0.5784352941176472,0.6323529411764706,0.6,0.4544117647058824,0.4,-0.19792786293714532,-0.1111111111111111,36.8235294117647,31.880000000000003,61,视频,情绪推理,多选题,2,8,32.0,1.0625,视频 / 多选题 / 情绪推理,委屈,0.7941176470588235,委屈｜悲伤,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00146,31.0,0.45161290322580644,0.29161735871855426,0.6222783248628674,0.7089129032258062,0.7580645161290323,0.7086021505376342,0.636021505376344,0.2913978494623655,0.2046322967407438,0.125,41.2509677419355,38.32,118,文本,情绪识别,多选题,3,12,32.0,0.96875,文本 / 多选题 / 情绪识别,烦躁,0.8387096774193549,烦躁｜失望,True,暂时保留,待填写,待填写,待填写
ITEM-00071,18.0,0.05555555555555555,0.009875190868776959,0.2575730099608091,0.47962777777777776,0.5277777777777778,0.4629629629629629,0.3509259259259259,0.537037037037037,0.19468468857221996,0.25,30.098888888888887,30.855,91,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别,失望,0.7777777777777778,失望｜震惊,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00124,39.0,0.6666666666666666,0.5097739427482695,0.793670438919966,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08650647541223917,0.0,41.359230769230784,40.58,22,音频,情绪识别,单选题,2,7,36.57142857142857,1.06640625,音频 / 单选题 / 情绪识别,释然,0.6666666666666666,释然,True,低区分度：内容审查并考虑补测,待填写,待填写,待填写
ITEM-00034,8.0,0.875,0.5291118149439162,0.9775825088000281,0.875,0.875,0.875,0.875,0.125,-0.06514047490619217,0.0,15.469999999999999,13.879999999999999,43,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别,爱,0.875,爱,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00052,15.0,0.0,0.0,0.20388330359648707,0.5720600000000001,0.5555555555555555,0.6911111111111111,0.4466666666666666,0.3088888888888889,,0.0,21.077333333333335,15.92,94,图像,情绪识别,多选题,3,22,17.454545454545453,0.8593750000000001,图像 / 多选题 / 情绪识别,痛苦,0.6666666666666666,绝望｜痛苦｜委屈,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00089,19.0,0.05263157894736842,0.009351993958601784,0.24638731374732356,0.7062578947368422,0.7192982456140351,0.775438596491228,0.5719298245614034,0.22456140350877193,-0.11100169590868796,-0.2,62.473684210526315,58.66,84,视频,情绪识别,多选题,2,13,19.692307692307693,0.96484375,视频 / 多选题 / 情绪识别,悲伤,0.7894736842105263,担忧｜同情｜悲伤,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00049,43.0,0.4186046511627907,0.2838455083487562,0.5667142272534341,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.5813953488372093,-0.017540944498921435,0.09090909090909088,69.76511627906976,65.84,17,音频,情绪识别,单选题,2,7,36.57142857142857,1.17578125,音频 / 单选题 / 情绪识别,敌意,0.4186046511627907,敌意,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00069,24.0,0.041666666666666664,0.007393456083597233,0.20241806658845338,0.6301583333333333,0.5694444444444443,0.798611111111111,0.49166666666666664,0.20138888888888887,-0.18832561268909764,0.0,20.63083333333333,19.93,117,文本,情绪识别,多选题,3,12,32.0,0.75,文本 / 多选题 / 情绪识别,爱,0.875,感激｜爱｜愉悦,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00068,35.0,0.17142857142857143,0.08102640006436056,0.3268228243870004,0.5868114285714285,0.6142857142857143,0.6257142857142857,0.4828571428571428,0.3742857142857143,0.30175492453770936,0.3333333333333333,26.421142857142854,21.52,116,文本,情绪识别,多选题,3,12,32.0,1.09375,文本 / 多选题 / 情绪识别,不屑,0.8,厌恶｜不屑,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00102,35.0,0.22857142857142856,0.12065879772769536,0.3901731702973419,0.6742914285714287,0.7571428571428571,0.6428571428571429,0.5809523809523809,0.35714285714285715,0.33783907877996283,0.1111111111111111,69.03914285714288,60.27,57,视频,情绪推理,多选题,2,8,32.0,1.09375,视频 / 多选题 / 情绪推理,烦躁,0.8,愤怒｜烦躁,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00082,15.0,0.2,0.0704754929173392,0.45185448924055305,0.6311200000000002,0.7,0.6222222222222221,0.5277777777777778,0.3777777777777778,-0.039968038348871665,0.25,58.57066666666666,55.56,72,视频,情绪识别,多选题,2,13,19.692307692307693,0.76171875,视频 / 多选题 / 情绪识别,紧张,0.8666666666666667,焦虑｜紧张,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00122,11.0,0.36363636363636365,0.15166470989133157,0.6461988273798758,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,-0.13754606108107548,-0.5,27.290000000000006,27.45,5,文本,情绪识别,单选题,1,10,12.8,0.859375,文本 / 单选题 / 情绪识别,羡慕,0.36363636363636365,羡慕,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00053,15.0,0.06666666666666667,0.01186689536153232,0.2981653010887565,0.5961933333333335,0.5777777777777778,0.6333333333333333,0.4633333333333333,0.36666666666666664,0.380588981675735,0.25,25.63266666666667,18.63,95,图像,情绪识别,多选题,3,22,17.454545454545453,0.8593750000000001,图像 / 多选题 / 情绪识别,悲伤,0.7333333333333333,悲伤｜委屈｜绝望,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00013,15.0,0.8666666666666667,0.6211801694601944,0.9626387412357151,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.3148370279301836,0.5,13.25,10.59,27,图像,情绪识别,单选题,2,28,9.142857142857142,1.640625,图像 / 单选题 / 情绪识别,愤怒,0.8666666666666667,愤怒,True,暂时保留,待填写,待填写,待填写
ITEM-00061,18.0,0.2777777777777778,0.1249975330046966,0.5087265674100965,0.7677277777777778,0.9444444444444444,0.7092592592592593,0.6537037037037037,0.29074074074074074,-0.1794967682458736,-0.25,22.922777777777778,17.064999999999998,109,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别,快乐,0.9444444444444444,快乐｜愉悦,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00023,7.0,0.7142857142857143,0.3589344495310541,0.9177810767507166,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,-0.13155870289605445,-1.0,42.457142857142856,39.13,55,视频,情绪识别,单选题,1,19,6.7368421052631575,1.0390625,视频 / 单选题 / 情绪识别,敌意,0.7142857142857143,敌意,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00078,64.0,0.046875,0.016069016661225302,0.1289965382897061,0.5110203125,0.5390625,0.5544270833333333,0.3828125,0.44557291666666665,-0.055430151394825294,-0.058823529411764705,26.937968750000003,22.36,89,图像,情绪推理,多选题,1,2,64.0,1.0,图像 / 多选题 / 情绪推理,悲伤,0.796875,内疚｜悲伤,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00012,12.0,0.9166666666666666,0.6461200862787544,0.9851349057603305,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.4891159880445186,0.33333333333333337,17.105,14.469999999999999,26,图像,情绪识别,单选题,2,28,9.142857142857142,1.3125,图像 / 单选题 / 情绪识别,愤怒,0.9166666666666666,愤怒,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00110,32.0,0.0,0.0,0.10717919976468034,0.44494687499999996,0.53125,0.41354166666666664,0.31979166666666664,0.5864583333333333,,0.0,38.868750000000006,31.655,59,文本,情绪推理,多选题,1,3,42.666666666666664,0.75,文本 / 多选题 / 情绪推理,痛苦,0.75,痛苦｜抑郁,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
