题目编号,有效作答人数,平均强度匹配得分,强度匹配得分标准差,强度匹配得分中位数,平均作答时间（秒）,情绪强度评定数,标签级平均强度,标签级强度标准差,标签级强度中位数,强度下四分位数,强度上四分位数,强度地板比例,强度天花板比例,标签级标准化平均强度,被试级有效人数,被试级平均强度,被试级强度标准差,非标准情绪平均强度,标准情绪平均强度,题目标题,素材模态,能力类型,选项形式,每卷组合配额,组合题库数,期望作答人数,实际期望比,抽题组合
ITEM-00022,9,0.5,0.39528470752104744,0.75,40.84,9,4.111111111111111,0.6009252125773314,4.0,4.0,4.0,0.0,0.2222222222222222,0.7777777777777778,9,4.111111111111111,0.6009252125773316,4.333333333333333,4.0,16,视频,情绪识别,单选题,1,19,6.7368421052631575,1.3359375,视频 / 单选题 / 情绪识别
ITEM-00023,7,0.6428571428571429,0.4531634835874828,0.75,42.457142857142856,7,3.7142857142857144,0.7559289460184544,4.0,3.0,4.0,0.0,0.14285714285714285,0.6785714285714286,7,3.7142857142857144,0.7559289460184544,4.0,3.6,55,视频,情绪识别,单选题,1,19,6.7368421052631575,1.0390625,视频 / 单选题 / 情绪识别
ITEM-00024,3,0.25,0.4330127018922193,0.0,68.74,3,4.333333333333333,0.5773502691896257,4.0,4.0,4.5,0.0,0.3333333333333333,0.8333333333333334,3,4.333333333333333,0.5773502691896257,4.0,5.0,57,视频,情绪识别,单选题,1,19,6.7368421052631575,0.4453125,视频 / 单选题 / 情绪识别
ITEM-00025,4,0.25,0.28867513459481287,0.25,36.995,4,4.5,1.0,5.0,4.5,5.0,0.0,0.75,0.875,4,4.5,1.0,4.0,5.0,60,视频,情绪识别,单选题,1,19,6.7368421052631575,0.59375,视频 / 单选题 / 情绪识别
ITEM-00026,8,0.53125,0.45193038338727726,0.75,47.42,8,4.375,0.5175491695067655,4.0,4.0,5.0,0.0,0.375,0.84375,8,4.375,0.5175491695067657,4.333333333333333,4.4,64,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00027,8,0.4375,0.4771567577102639,0.375,40.22375,8,4.0,0.9258200997725514,4.0,3.0,5.0,0.0,0.375,0.75,8,4.0,0.9258200997725514,3.5,4.5,83,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00028,3,0.25,0.4330127018922193,0.0,22.626666666666665,3,4.666666666666667,0.5773502691896257,5.0,4.5,5.0,0.0,0.6666666666666666,0.9166666666666666,3,4.666666666666667,0.5773502691896258,4.5,5.0,24,图像,情绪识别,单选题,2,28,9.142857142857142,0.328125,图像 / 单选题 / 情绪识别
ITEM-00029,6,0.0,0.0,0.0,16.355,6,3.8333333333333335,1.1690451944500122,4.0,3.25,4.75,0.0,0.3333333333333333,0.7083333333333334,6,3.8333333333333335,1.1690451944500122,3.8333333333333335,,34,图像,情绪识别,单选题,2,28,9.142857142857142,0.65625,图像 / 单选题 / 情绪识别
ITEM-00030,8,0.4375,0.47715675771026383,0.375,13.69875,8,3.625,0.9161253813129043,4.0,3.0,4.0,0.0,0.125,0.65625,8,3.625,0.9161253813129042,3.25,4.0,42,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00032,5,0.35,0.4873397172404482,0.0,20.49,5,3.8,0.447213595499958,4.0,4.0,4.0,0.0,0.0,0.7,5,3.8,0.4472135954999579,4.0,3.5,41,图像,情绪识别,单选题,2,28,9.142857142857142,0.546875,图像 / 单选题 / 情绪识别
ITEM-00033,9,0.4166666666666667,0.414578098794425,0.5,12.407777777777778,9,4.0,0.7071067811865475,4.0,4.0,4.0,0.0,0.2222222222222222,0.75,9,4.0,0.7071067811865479,4.0,4.0,44,图像,情绪识别,单选题,2,28,9.142857142857142,0.984375,图像 / 单选题 / 情绪识别
ITEM-00034,8,0.78125,0.33905067046513443,0.875,15.469999999999999,8,4.625,0.5175491695067655,5.0,4.0,5.0,0.0,0.625,0.90625,8,4.625,0.5175491695067655,5.0,4.571428571428571,43,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00035,3,0.3333333333333333,0.5773502691896258,0.0,11.946666666666667,3,5.0,0.0,5.0,5.0,5.0,0.0,1.0,1.0,3,5.0,0.0,5.0,5.0,96,图像,情绪识别,单选题,2,28,9.142857142857142,0.328125,图像 / 单选题 / 情绪识别
ITEM-00036,7,0.10714285714285714,0.2834733547569204,0.0,28.185714285714287,7,3.142857142857143,1.0690449676496976,3.0,3.0,4.0,0.14285714285714285,0.0,0.5357142857142857,7,3.142857142857143,1.0690449676496976,3.1666666666666665,3.0,45,图像,情绪识别,单选题,2,28,9.142857142857142,0.765625,图像 / 单选题 / 情绪识别
ITEM-00037,14,0.44642857142857145,0.31284321811552684,0.5,20.59357142857143,14,4.285714285714286,0.6112498455021267,4.0,4.0,5.0,0.0,0.35714285714285715,0.8214285714285714,14,4.285714285714286,0.6112498455021268,3.75,4.5,50,文本,情绪识别,单选题,1,10,12.8,1.09375,文本 / 单选题 / 情绪识别
ITEM-00038,9,0.5833333333333334,0.375,0.75,34.77333333333333,9,4.0,0.7071067811865477,4.0,4.0,4.0,0.0,0.2222222222222222,0.75,9,4.0,0.7071067811865475,4.0,4.0,51,文本,情绪识别,单选题,1,10,12.8,0.703125,文本 / 单选题 / 情绪识别
ITEM-00039,13,0.7692307692307693,0.36028834606144605,1.0,21.323076923076922,13,4.384615384615385,0.5063696835418333,4.0,4.0,5.0,0.0,0.38461538461538464,0.8461538461538461,13,4.384615384615385,0.5063696835418332,4.5,4.363636363636363,52,文本,情绪识别,单选题,1,10,12.8,1.015625,文本 / 单选题 / 情绪识别
ITEM-00040,16,0.578125,0.48061375691227703,0.875,20.03625,16,4.6875,0.6020797289396148,5.0,4.75,5.0,0.0,0.75,0.921875,16,4.6875,0.6020797289396147,4.666666666666667,4.7,53,文本,情绪识别,单选题,1,10,12.8,1.25,文本 / 单选题 / 情绪识别
ITEM-00041,18,0.1388888888888889,0.3233808333817773,0.0,18.413888888888888,18,3.7777777777777777,0.9428090415820634,4.0,3.0,4.0,0.0,0.2222222222222222,0.6944444444444444,18,3.7777777777777777,0.9428090415820632,3.8666666666666667,3.3333333333333335,54,文本,情绪识别,单选题,1,10,12.8,1.40625,文本 / 单选题 / 情绪识别
ITEM-00042,22,0.4602272727272727,0.25114725936678245,0.5,35.12409090909091,49,3.877551020408163,0.8324825589070041,4.0,3.0,4.0,0.0,0.22448979591836735,0.7193877551020408,22,3.7628787878787877,0.5899944358580294,3.8181818181818183,3.925925925925926,61,视频,情绪识别,多选题,2,13,19.692307692307693,1.1171875,视频 / 多选题 / 情绪识别
ITEM-00043,17,0.2647058823529412,0.09765165430362813,0.25,39.72176470588235,36,3.8333333333333335,0.9102589898327995,4.0,3.0,4.0,0.027777777777777776,0.2222222222222222,0.7083333333333334,17,3.887254901960784,0.7162190804787528,3.5454545454545454,3.96,65,视频,情绪识别,多选题,2,13,19.692307692307693,0.86328125,视频 / 多选题 / 情绪识别
ITEM-00044,21,0.4583333333333333,0.23826630759159664,0.375,22.74904761904762,38,4.105263157894737,0.831458298322422,4.0,4.0,5.0,0.0,0.34210526315789475,0.7763157894736842,21,4.2936507936507935,0.6144210506755343,3.8,4.304347826086956,80,视频,情绪识别,多选题,2,13,19.692307692307693,1.06640625,视频 / 多选题 / 情绪识别
ITEM-00045,31,0.1935483870967742,0.32086911544633245,0.0,46.24903225806452,31,4.161290322580645,0.8204378584450456,4.0,4.0,5.0,0.0,0.3870967741935484,0.7903225806451613,31,4.161290322580645,0.8204378584450454,4.090909090909091,4.333333333333333,2,音频,情绪识别,单选题,2,7,36.57142857142857,0.84765625,音频 / 单选题 / 情绪识别
ITEM-00046,12,0.4791666666666667,0.31002810234303635,0.4375,22.88,27,3.8518518518518516,0.9073928715621604,4.0,3.0,5.0,0.0,0.2962962962962963,0.7129629629629629,12,3.9791666666666665,0.7572252977252882,3.8333333333333335,3.8666666666666667,89,图像,情绪识别,多选题,3,22,17.454545454545453,0.6875,图像 / 多选题 / 情绪识别
ITEM-00047,16,0.5104124999999999,0.29008348194959327,0.54165,24.405625,41,4.170731707317073,0.8337397382993762,4.0,4.0,5.0,0.0,0.3902439024390244,0.7926829268292683,16,4.316666666666666,0.5986094998689325,3.909090909090909,4.266666666666667,90,图像,情绪识别,多选题,3,22,17.454545454545453,0.9166666666666667,图像 / 多选题 / 情绪识别
ITEM-00048,34,0.6102941176470589,0.42724973389794463,0.75,44.434705882352944,34,4.264705882352941,0.8278787617802342,4.0,4.0,5.0,0.0,0.47058823529411764,0.8161764705882353,34,4.264705882352941,0.8278787617802341,3.8,4.458333333333333,2,音频,情绪识别,单选题,2,7,36.57142857142857,0.9296875,音频 / 单选题 / 情绪识别
ITEM-00049,43,0.3430232558139535,0.4226590142223788,0.0,69.76511627906977,43,3.9767441860465116,0.9633367628796242,4.0,3.0,5.0,0.0,0.3488372093023256,0.7441860465116279,43,3.9767441860465116,0.9633367628796239,3.92,4.055555555555555,17,音频,情绪识别,单选题,2,7,36.57142857142857,1.17578125,音频 / 单选题 / 情绪识别
ITEM-00050,20,0.56875,0.29932764568894105,0.5625,18.910999999999998,41,4.073170731707317,0.8482406469404491,4.0,3.0,5.0,0.0,0.36585365853658536,0.7682926829268293,20,3.9875,0.7590944705401814,3.9166666666666665,4.137931034482759,92,图像,情绪识别,多选题,3,22,17.454545454545453,1.1458333333333335,图像 / 多选题 / 情绪识别
ITEM-00051,15,0.43333333333333335,0.48611678001229686,0.0,18.505333333333333,15,3.933333333333333,0.7037315505489968,4.0,3.5,4.0,0.0,0.2,0.7333333333333333,15,3.933333333333333,0.7037315505489968,3.625,4.285714285714286,93,图像,情绪识别,单选题,2,28,9.142857142857142,1.640625,图像 / 单选题 / 情绪识别
ITEM-00052,15,0.4444466666666667,0.306457831792021,0.5,21.077333333333335,36,4.222222222222222,0.7968190728895959,4.0,4.0,5.0,0.0,0.4444444444444444,0.8055555555555556,15,4.025555555555555,0.6575829559191326,4.181818181818182,4.24,94,图像,情绪识别,多选题,3,22,17.454545454545453,0.8593750000000001,图像 / 多选题 / 情绪识别
ITEM-00053,15,0.43888,0.19278528100305936,0.5,25.63266666666667,41,3.7804878048780486,0.8219548382347786,4.0,3.0,4.0,0.0,0.17073170731707318,0.6951219512195121,15,3.8277777777777775,0.5980015218256725,3.2,4.115384615384615,95,图像,情绪识别,多选题,3,22,17.454545454545453,0.8593750000000001,图像 / 多选题 / 情绪识别
ITEM-00054,15,0.45556,0.27614533130219676,0.5,16.010666666666665,38,3.973684210526316,1.1024994234297238,4.0,3.0,5.0,0.02631578947368421,0.42105263157894735,0.743421052631579,15,3.798888888888889,1.089787853730058,3.8181818181818183,4.037037037037037,97,图像,情绪识别,多选题,3,22,17.454545454545453,0.8593750000000001,图像 / 多选题 / 情绪识别
ITEM-00055,18,0.5451388888888888,0.27769862025730424,0.59375,24.23611111111111,60,4.183333333333334,0.911167376885589,4.0,3.75,5.0,0.016666666666666666,0.4666666666666667,0.7958333333333333,18,4.223148148148148,0.5265232768594381,3.6153846153846154,4.340425531914893,98,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别
ITEM-00056,11,0.25,0.43301270189221935,0.0,25.90090909090909,11,3.8181818181818183,0.7507571935295484,4.0,3.0,4.0,0.0,0.18181818181818182,0.7045454545454546,11,3.8181818181818183,0.7507571935295483,3.875,3.6666666666666665,101,图像,情绪识别,单选题,2,28,9.142857142857142,1.203125,图像 / 单选题 / 情绪识别
ITEM-00057,33,0.5606060606060606,0.4464718593731538,0.75,36.079090909090915,33,4.2727272727272725,0.7190587281616533,4.0,4.0,5.0,0.0,0.42424242424242425,0.8181818181818182,33,4.2727272727272725,0.7190587281616534,3.8333333333333335,4.523809523809524,23,音频,情绪识别,单选题,2,7,36.57142857142857,0.90234375,音频 / 单选题 / 情绪识别
ITEM-00058,22,0.2897727272727273,0.3166659546585753,0.3125,23.649545454545454,47,3.872340425531915,0.8751899489873673,4.0,3.0,4.5,0.0,0.2553191489361702,0.7180851063829787,22,3.867424242424242,0.6302866835903352,3.71875,4.2,102,图像,情绪识别,多选题,3,22,17.454545454545453,1.2604166666666667,图像 / 多选题 / 情绪识别
ITEM-00059,12,0.6458333333333334,0.41912155610023066,0.75,23.1775,12,4.333333333333333,0.7784989441615229,4.5,4.0,5.0,0.0,0.5,0.8333333333333334,12,4.333333333333333,0.778498944161523,4.0,4.444444444444445,15,文本,情绪识别,单选题,1,10,12.8,0.9375,文本 / 单选题 / 情绪识别
ITEM-00060,11,0.18181818181818182,0.3370999312316211,0.0,30.10545454545455,11,3.909090909090909,0.8312094145936336,4.0,3.0,4.5,0.0,0.2727272727272727,0.7272727272727273,11,3.909090909090909,0.8312094145936335,3.75,4.333333333333333,18,文本,情绪识别,单选题,1,10,12.8,0.859375,文本 / 单选题 / 情绪识别
ITEM-00061,18,0.8194444444444444,0.15590239111558088,0.8125,22.922777777777778,56,4.0,0.873862897505303,4.0,3.0,5.0,0.0,0.32142857142857145,0.75,18,4.128703703703703,0.5760414142801433,3.5454545454545454,4.294117647058823,109,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别
ITEM-00062,10,0.75,0.408248290463863,1.0,23.565,10,4.7,0.48304589153964794,5.0,4.25,5.0,0.0,0.7,0.925,10,4.7,0.4830458915396479,4.5,4.75,23,文本,情绪识别,单选题,1,10,12.8,0.78125,文本 / 单选题 / 情绪识别
ITEM-00063,16,0.4609375,0.22693037662096568,0.5,22.064375,35,3.8,0.8677218312746247,4.0,3.0,4.0,0.0,0.2,0.7,16,3.6916666666666664,0.6454972243679029,3.6470588235294117,3.9444444444444446,110,图像,情绪识别,多选题,3,22,17.454545454545453,0.9166666666666667,图像 / 多选题 / 情绪识别
ITEM-00064,18,0.3680555555555556,0.292278769473541,0.375,15.04888888888889,36,3.9444444444444446,0.7149203529842405,4.0,3.0,4.0,0.0,0.2222222222222222,0.7361111111111112,18,3.962037037037037,0.6776980827463103,4.105263157894737,3.764705882352941,111,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别
ITEM-00065,20,0.340625,0.18637270772355735,0.3125,21.435499999999998,48,3.8958333333333335,1.0156139183792599,4.0,3.0,5.0,0.020833333333333332,0.3333333333333333,0.7239583333333334,20,3.9524999999999997,0.7512810696497251,3.6153846153846154,4.0,112,图像,情绪识别,多选题,3,22,17.454545454545453,1.1458333333333335,图像 / 多选题 / 情绪识别
ITEM-00066,17,0.45955882352941174,0.22310527800464386,0.4375,19.174705882352942,48,3.8958333333333335,0.9280403360028201,4.0,3.0,5.0,0.020833333333333332,0.3125,0.7239583333333334,17,3.950980392156863,0.6166799150670135,3.142857142857143,4.024390243902439,113,图像,情绪识别,多选题,3,22,17.454545454545453,0.9739583333333334,图像 / 多选题 / 情绪识别
ITEM-00067,9,0.4444444444444444,0.4289845892077917,0.75,17.642222222222223,9,3.6666666666666665,0.8660254037844386,3.0,3.0,4.0,0.0,0.2222222222222222,0.6666666666666666,9,3.6666666666666665,0.8660254037844386,3.25,4.0,114,图像,情绪识别,单选题,2,28,9.142857142857142,0.984375,图像 / 单选题 / 情绪识别
ITEM-00068,35,0.4928571428571429,0.301562806145619,0.5,26.421142857142858,70,4.0,1.0072203103706698,4.0,3.0,5.0,0.014285714285714285,0.38571428571428573,0.75,35,3.998571428571428,0.820831431555191,3.8518518518518516,4.093023255813954,116,文本,情绪识别,多选题,3,12,32.0,1.09375,文本 / 多选题 / 情绪识别
ITEM-00069,24,0.46875,0.2167726900013809,0.5,20.63083333333333,54,4.111111111111111,0.7688920395955853,4.0,4.0,5.0,0.0,0.3148148148148148,0.7777777777777778,24,4.180555555555555,0.5766525646819473,4.076923076923077,4.121951219512195,117,文本,情绪识别,多选题,3,12,32.0,0.75,文本 / 多选题 / 情绪识别
ITEM-00070,37,0.527027027027027,0.20652367183213416,0.5,26.861081081081082,89,3.955056179775281,0.9282205894705516,4.0,4.0,5.0,0.02247191011235955,0.29213483146067415,0.7387640449438202,37,3.9283783783783783,0.6545055723298906,4.105263157894737,3.843137254901961,119,文本,情绪识别,多选题,3,12,32.0,1.15625,文本 / 多选题 / 情绪识别
ITEM-00071,18,0.4166666666666667,0.2876118708177639,0.4375,30.098888888888887,43,3.8372093023255816,1.0219084051336669,4.0,3.5,4.5,0.023255813953488372,0.2558139534883721,0.7093023255813954,18,3.875,0.6594276087955601,3.5833333333333335,4.157894736842105,91,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别
ITEM-00072,26,0.4019230769230769,0.20663047656663294,0.35,29.19884615384615,76,4.223684210526316,0.704247763419027,4.0,4.0,5.0,0.0,0.3815789473684211,0.805921052631579,26,4.17948717948718,0.5669667380466706,4.2727272727272725,4.2153846153846155,120,文本,情绪识别,多选题,3,12,32.0,0.8125,文本 / 多选题 / 情绪识别
ITEM-00073,19,0.4342105263157895,0.24779731389167603,0.5,22.24105263157895,38,3.9210526315789473,0.7491104254964567,4.0,4.0,4.0,0.0,0.18421052631578946,0.7302631578947368,19,4.035087719298246,0.46755519700695575,3.6470588235294117,4.142857142857143,107,图像,情绪识别,多选题,3,22,17.454545454545453,1.0885416666666667,图像 / 多选题 / 情绪识别
ITEM-00074,14,0.6428571428571429,0.3761429468746111,0.75,23.189999999999998,14,4.285714285714286,0.6112498455021265,4.0,4.0,5.0,0.0,0.35714285714285715,0.8214285714285714,14,4.285714285714286,0.6112498455021266,4.333333333333333,4.2727272727272725,121,文本,情绪识别,单选题,1,10,12.8,1.09375,文本 / 单选题 / 情绪识别
ITEM-00075,29,0.5043103448275862,0.28637738630897963,0.5,22.710689655172413,66,3.9393939393939394,0.874929234567668,4.0,3.0,5.0,0.0,0.2878787878787879,0.7348484848484849,29,4.007471264367816,0.6623608899607034,3.6551724137931036,4.162162162162162,108,图像,情绪识别,多选题,3,22,17.454545454545453,1.6614583333333335,图像 / 多选题 / 情绪识别
ITEM-00076,24,0.3020833333333333,0.270659085529583,0.375,32.67875,51,3.6470588235294117,1.016337137209198,4.0,3.0,4.0,0.0392156862745098,0.19607843137254902,0.6617647058823529,24,3.84375,0.7356979744853425,3.5,3.8947368421052633,78,音频,情绪识别,多选题,2,9,28.444444444444443,0.84375,音频 / 多选题 / 情绪识别
ITEM-00077,26,0.5096153846153846,0.32000600955895525,0.5,36.98307692307692,54,3.740740740740741,1.0128455186868177,4.0,3.0,4.75,0.018518518518518517,0.25925925925925924,0.6851851851851852,26,3.7384615384615385,0.6888116857759735,3.272727272727273,4.0625,79,音频,情绪识别,多选题,2,9,28.444444444444443,0.9140625,音频 / 多选题 / 情绪识别
ITEM-00078,64,0.392578125,0.23450723782701027,0.375,26.93796875,139,3.856115107913669,0.9747623350553511,4.0,3.0,5.0,0.014388489208633094,0.2949640287769784,0.7140287769784173,64,3.87421875,0.7532523817973771,3.6857142857142855,4.028985507246377,89,图像,情绪推理,多选题,1,2,64.0,1.0,图像 / 多选题 / 情绪推理
ITEM-00079,34,0.44485294117647056,0.24462242177182283,0.5,36.8235294117647,80,3.7125,1.057747188095554,4.0,3.0,4.0,0.025,0.2375,0.678125,34,3.757843137254902,0.7990444134392313,3.4324324324324325,3.953488372093023,61,视频,情绪推理,多选题,2,8,32.0,1.0625,视频 / 多选题 / 情绪推理
ITEM-00080,35,0.2767857142857143,0.15627625829780742,0.25,45.21371428571429,78,3.91025641025641,0.9143288992465107,4.0,3.0,5.0,0.0,0.32051282051282054,0.7275641025641025,35,3.8823809523809523,0.661955693987889,3.814814814814815,3.9607843137254903,65,视频,情绪推理,多选题,2,8,32.0,1.09375,视频 / 多选题 / 情绪推理
ITEM-00081,26,0.4807692307692308,0.23898825204470744,0.5,53.964615384615385,59,3.6779661016949152,0.9548547094047721,4.0,3.0,4.0,0.01694915254237288,0.2033898305084746,0.6694915254237288,26,3.7961538461538464,0.6138640401824005,3.3333333333333335,3.914285714285714,58,视频,情绪识别,多选题,2,13,19.692307692307693,1.3203125,视频 / 多选题 / 情绪识别
ITEM-00082,15,0.5916666666666667,0.3880660228559544,0.75,58.57066666666666,35,3.8857142857142857,0.9932545604469881,4.0,3.0,5.0,0.02857142857142857,0.3142857142857143,0.7214285714285714,15,3.944444444444444,0.8253586682266875,3.5714285714285716,4.095238095238095,72,视频,情绪识别,多选题,2,13,19.692307692307693,0.76171875,视频 / 多选题 / 情绪识别
