题目编号,抽中人数,题目标题,素材模态,能力类型,选项形式,每卷组合配额,组合题库数,期望作答人数,实际期望比,抽题组合
ITEM-00078,64,89,图像,情绪推理,多选题,1,2,64.0,1.0,图像 / 多选题 / 情绪推理
ITEM-00079,34,61,视频,情绪推理,多选题,2,8,32.0,1.0625,视频 / 多选题 / 情绪推理
ITEM-00080,35,65,视频,情绪推理,多选题,2,8,32.0,1.09375,视频 / 多选题 / 情绪推理
ITEM-00081,26,58,视频,情绪识别,多选题,2,13,19.692307692307693,1.3203125,视频 / 多选题 / 情绪识别
ITEM-00082,15,72,视频,情绪识别,多选题,2,13,19.692307692307693,0.76171875,视频 / 多选题 / 情绪识别
ITEM-00083,19,73,视频,情绪识别,多选题,2,13,19.692307692307693,0.96484375,视频 / 多选题 / 情绪识别
ITEM-00084,43,78,音频,情绪推理,多选题,2,6,42.666666666666664,1.0078125,音频 / 多选题 / 情绪推理
ITEM-00085,13,76,视频,情绪识别,多选题,2,13,19.692307692307693,0.66015625,视频 / 多选题 / 情绪识别
ITEM-00086,51,79,音频,情绪推理,多选题,2,6,42.666666666666664,1.1953125,音频 / 多选题 / 情绪推理
ITEM-00087,17,77,视频,情绪识别,多选题,2,13,19.692307692307693,0.86328125,视频 / 多选题 / 情绪识别
ITEM-00088,24,81,视频,情绪识别,多选题,2,13,19.692307692307693,1.21875,视频 / 多选题 / 情绪识别
ITEM-00089,19,84,视频,情绪识别,多选题,2,13,19.692307692307693,0.96484375,视频 / 多选题 / 情绪识别
ITEM-00090,29,56,音频,情绪识别,多选题,2,9,28.444444444444443,1.01953125,音频 / 多选题 / 情绪识别
ITEM-00091,28,59,音频,情绪识别,多选题,2,9,28.444444444444443,0.984375,音频 / 多选题 / 情绪识别
ITEM-00092,28,66,音频,情绪识别,多选题,2,9,28.444444444444443,0.984375,音频 / 多选题 / 情绪识别
ITEM-00093,36,75,音频,情绪识别,多选题,2,9,28.444444444444443,1.265625,音频 / 多选题 / 情绪识别
ITEM-00094,23,88,音频,情绪识别,多选题,2,9,28.444444444444443,0.80859375,音频 / 多选题 / 情绪识别
ITEM-00095,28,59,文本,情绪识别,多选题,3,12,32.0,0.875,文本 / 多选题 / 情绪识别
ITEM-00096,40,74,文本,情绪识别,多选题,3,12,32.0,1.25,文本 / 多选题 / 情绪识别
ITEM-00097,36,82,文本,情绪识别,多选题,3,12,32.0,1.125,文本 / 多选题 / 情绪识别
ITEM-00098,28,1,视频,情绪推理,多选题,2,8,32.0,0.875,视频 / 多选题 / 情绪推理
ITEM-00100,33,10,视频,情绪推理,多选题,2,8,32.0,1.03125,视频 / 多选题 / 情绪推理
ITEM-00101,28,55,视频,情绪推理,多选题,2,8,32.0,0.875,视频 / 多选题 / 情绪推理
ITEM-00102,35,57,视频,情绪推理,多选题,2,8,32.0,1.09375,视频 / 多选题 / 情绪推理
ITEM-00104,27,23,文本,情绪推理,单选题,1,4,32.0,0.84375,文本 / 单选题 / 情绪推理
ITEM-00105,41,2,音频,情绪推理,多选题,2,6,42.666666666666664,0.9609375,音频 / 多选题 / 情绪推理
ITEM-00106,31,77,视频,情绪推理,单选题,1,4,32.0,0.96875,视频 / 单选题 / 情绪推理
ITEM-00107,25,81,视频,情绪推理,多选题,2,8,32.0,0.78125,视频 / 多选题 / 情绪推理
ITEM-00108,35,59,音频,情绪推理,多选题,2,6,42.666666666666664,0.8203125,音频 / 多选题 / 情绪推理
ITEM-00109,49,88,音频,情绪推理,多选题,2,6,42.666666666666664,1.1484375,音频 / 多选题 / 情绪推理
ITEM-00110,32,59,文本,情绪推理,多选题,1,3,42.666666666666664,0.75,文本 / 多选题 / 情绪推理
ITEM-00111,12,31,图像,情绪识别,单选题,2,28,9.142857142857142,1.3125,图像 / 单选题 / 情绪识别
ITEM-00112,7,35,图像,情绪识别,单选题,2,28,9.142857142857142,0.765625,图像 / 单选题 / 情绪识别
ITEM-00113,7,36,图像,情绪识别,单选题,2,28,9.142857142857142,0.765625,图像 / 单选题 / 情绪识别
ITEM-00114,9,38,图像,情绪识别,单选题,2,28,9.142857142857142,0.984375,图像 / 单选题 / 情绪识别
ITEM-00115,10,39,图像,情绪识别,单选题,2,28,9.142857142857142,1.09375,图像 / 单选题 / 情绪识别
ITEM-00116,12,46,图像,情绪识别,单选题,2,28,9.142857142857142,1.3125,图像 / 单选题 / 情绪识别
ITEM-00117,10,47,图像,情绪识别,单选题,2,28,9.142857142857142,1.09375,图像 / 单选题 / 情绪识别
ITEM-00118,11,48,图像,情绪识别,单选题,2,28,9.142857142857142,1.203125,图像 / 单选题 / 情绪识别
ITEM-00119,8,49,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00120,8,105,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00121,14,106,图像,情绪识别,单选题,2,28,9.142857142857142,1.53125,图像 / 单选题 / 情绪识别
ITEM-00122,11,5,文本,情绪识别,单选题,1,10,12.8,0.859375,文本 / 单选题 / 情绪识别
ITEM-00123,41,8,音频,情绪识别,单选题,2,7,36.57142857142857,1.12109375,音频 / 单选题 / 情绪识别
ITEM-00124,39,22,音频,情绪识别,单选题,2,7,36.57142857142857,1.06640625,音频 / 单选题 / 情绪识别
ITEM-00125,26,85,视频,情绪识别,多选题,2,13,19.692307692307693,1.3203125,视频 / 多选题 / 情绪识别
ITEM-00126,17,86,视频,情绪识别,多选题,2,13,19.692307692307693,0.86328125,视频 / 多选题 / 情绪识别
ITEM-00127,20,87,视频,情绪识别,多选题,2,13,19.692307692307693,1.015625,视频 / 多选题 / 情绪识别
ITEM-00128,17,100,图像,情绪识别,多选题,3,22,17.454545454545453,0.9739583333333334,图像 / 多选题 / 情绪识别
ITEM-00129,21,103,图像,情绪识别,多选题,3,22,17.454545454545453,1.203125,图像 / 多选题 / 情绪识别
ITEM-00130,19,104,图像,情绪识别,多选题,3,22,17.454545454545453,1.0885416666666667,图像 / 多选题 / 情绪识别
ITEM-00131,14,115,图像,情绪识别,多选题,3,22,17.454545454545453,0.8020833333333334,图像 / 多选题 / 情绪识别
ITEM-00132,14,37,图像,情绪识别,多选题,3,22,17.454545454545453,0.8020833333333334,图像 / 多选题 / 情绪识别
ITEM-00133,11,99,图像,情绪识别,多选题,3,22,17.454545454545453,0.6302083333333334,图像 / 多选题 / 情绪识别
ITEM-00134,34,67,文本,情绪识别,多选题,3,12,32.0,1.0625,文本 / 多选题 / 情绪识别
ITEM-00135,39,68,文本,情绪识别,多选题,3,12,32.0,1.21875,文本 / 多选题 / 情绪识别
ITEM-00136,21,71,文本,情绪识别,多选题,3,12,32.0,0.65625,文本 / 多选题 / 情绪识别
ITEM-00137,33,69,音频,情绪识别,多选题,2,9,28.444444444444443,1.16015625,音频 / 多选题 / 情绪识别
ITEM-00138,37,22,音频,情绪推理,多选题,2,6,42.666666666666664,0.8671875,音频 / 多选题 / 情绪推理
ITEM-00139,64,37,图像,情绪推理,多选题,1,2,64.0,1.0,图像 / 多选题 / 情绪推理
ITEM-00140,48,63,文本,情绪推理,多选题,1,3,42.666666666666664,1.125,文本 / 多选题 / 情绪推理
ITEM-00141,48,67,文本,情绪推理,多选题,1,3,42.666666666666664,1.125,文本 / 多选题 / 情绪推理
ITEM-00142,33,68,文本,情绪推理,单选题,1,4,32.0,1.03125,文本 / 单选题 / 情绪推理
ITEM-00143,37,71,文本,情绪推理,单选题,1,4,32.0,1.15625,文本 / 单选题 / 情绪推理
ITEM-00144,31,118,文本,情绪推理,单选题,1,4,32.0,0.96875,文本 / 单选题 / 情绪推理
ITEM-00145,29,69,音频,情绪识别,多选题,2,9,28.444444444444443,1.01953125,音频 / 多选题 / 情绪识别
ITEM-00146,31,118,文本,情绪识别,多选题,3,12,32.0,0.96875,文本 / 多选题 / 情绪识别
ITEM-00147,4,6,视频,情绪识别,单选题,1,19,6.7368421052631575,0.59375,视频 / 单选题 / 情绪识别
ITEM-00148,12,62,视频,情绪识别,单选题,1,19,6.7368421052631575,1.78125,视频 / 单选题 / 情绪识别
ITEM-00149,33,60,视频,情绪推理,单选题,1,4,32.0,1.03125,视频 / 单选题 / 情绪推理
ITEM-00150,38,86,视频,情绪推理,多选题,2,8,32.0,1.1875,视频 / 多选题 / 情绪推理
