题目编号,ITEM-00001,ITEM-00002,ITEM-00003,ITEM-00004,ITEM-00005,ITEM-00006,ITEM-00007,ITEM-00008,ITEM-00009,ITEM-00010,ITEM-00011,ITEM-00012,ITEM-00013,ITEM-00014,ITEM-00015,ITEM-00016,ITEM-00017,ITEM-00018,ITEM-00019,ITEM-00020,ITEM-00021,ITEM-00022,ITEM-00023,ITEM-00024,ITEM-00025,ITEM-00026,ITEM-00027,ITEM-00028,ITEM-00029,ITEM-00030,ITEM-00032,ITEM-00033,ITEM-00034,ITEM-00035,ITEM-00036,ITEM-00037,ITEM-00038,ITEM-00039,ITEM-00040,ITEM-00041,ITEM-00042,ITEM-00043,ITEM-00044,ITEM-00045,ITEM-00046,ITEM-00047,ITEM-00048,ITEM-00049,ITEM-00050,ITEM-00051,ITEM-00052,ITEM-00053,ITEM-00054,ITEM-00055,ITEM-00056,ITEM-00057,ITEM-00058,ITEM-00059,ITEM-00060,ITEM-00061,ITEM-00062,ITEM-00063,ITEM-00064,ITEM-00065,ITEM-00066,ITEM-00067,ITEM-00068,ITEM-00069,ITEM-00070,ITEM-00071,ITEM-00072,ITEM-00073,ITEM-00074,ITEM-00075,ITEM-00076,ITEM-00077,ITEM-00078,ITEM-00079,ITEM-00080,ITEM-00081,ITEM-00082,ITEM-00083,ITEM-00084,ITEM-00085,ITEM-00086,ITEM-00087,ITEM-00088,ITEM-00089,ITEM-00090,ITEM-00091,ITEM-00092,ITEM-00093,ITEM-00094,ITEM-00095,ITEM-00096,ITEM-00097,ITEM-00098,ITEM-00100,ITEM-00101,ITEM-00102,ITEM-00104,ITEM-00105,ITEM-00106,ITEM-00107,ITEM-00108,ITEM-00109,ITEM-00110,ITEM-00111,ITEM-00112,ITEM-00113,ITEM-00114,ITEM-00115,ITEM-00116,ITEM-00117,ITEM-00118,ITEM-00119,ITEM-00120,ITEM-00121,ITEM-00122,ITEM-00123,ITEM-00124,ITEM-00125,ITEM-00126,ITEM-00127,ITEM-00128,ITEM-00129,ITEM-00130,ITEM-00131,ITEM-00132,ITEM-00133,ITEM-00134,ITEM-00135,ITEM-00136,ITEM-00137,ITEM-00138,ITEM-00139,ITEM-00140,ITEM-00141,ITEM-00142,ITEM-00143,ITEM-00144,ITEM-00145,ITEM-00146,ITEM-00147,ITEM-00148,ITEM-00149,ITEM-00150
ITEM-00011,3,2,0,2,1,0,1,1,1,0,10,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,2,0,1,2,3,2,1,0,2,1,2,0,5,2,3,1,2,0,0,0,2,5,0,2,2,1,1,4,0,1,1,3,0,4,0,3,3,2,0,1,3,5,1,3,1,3,0,3,1,2,3,4,3,2,0,4,1,2,5,2,4,3,3,1,1,0,0,0,0,2,0,0,0,1,1,0,3,4,2,0,3,1,2,2,3,0,1,3,4,0,4,3,6,6,3,3,4,1,4,4,0,0,4,6
ITEM-00012,0,3,0,0,1,0,1,1,4,2,1,12,3,1,0,2,0,0,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,2,2,0,2,4,7,2,0,1,2,3,2,1,2,0,1,4,3,0,0,2,3,3,0,5,3,5,1,1,3,1,1,3,3,7,1,3,3,2,2,1,1,5,1,2,1,3,2,3,3,2,3,5,0,3,5,4,2,2,4,6,3,5,4,2,0,1,0,1,2,0,0,0,0,1,0,2,2,3,3,2,0,0,4,3,1,0,0,2,6,1,2,5,5,6,4,2,3,5,3,3,0,0,3,3
ITEM-00013,0,3,0,3,0,0,0,0,5,4,0,3,15,1,0,0,1,0,1,2,0,1,4,0,0,0,2,0,0,2,0,1,1,0,0,0,0,3,2,2,1,3,5,4,2,3,4,7,0,0,1,4,2,3,2,4,3,2,1,3,1,1,3,0,1,1,2,5,8,2,2,2,2,3,1,2,9,7,4,3,2,2,4,2,6,3,3,2,8,1,3,3,4,4,2,6,3,5,2,5,5,5,4,2,4,4,5,0,2,0,2,0,0,0,0,1,0,0,2,5,1,2,2,0,2,4,2,1,2,1,3,5,2,4,7,6,5,5,3,3,4,4,2,0,3,5,2
ITEM-00014,0,3,0,1,0,0,2,0,1,3,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,3,0,0,1,1,1,3,3,1,1,0,0,2,1,1,3,1,3,0,1,1,1,0,0,3,0,1,2,3,0,3,1,0,3,1,1,2,1,4,2,1,1,3,1,2,0,2,1,3,2,2,2,2,2,1,2,0,3,2,1,1,3,1,3,2,4,2,0,0,1,1,1,0,0,1,0,1,2,0,2,3,2,3,0,2,2,1,1,1,1,3,1,1,3,2,6,4,2,2,4,1,0,2,0,0,3,2
ITEM-00015,0,1,0,3,0,0,1,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,3,3,0,2,3,1,0,1,0,0,0,0,1,2,1,1,0,0,1,1,0,2,0,0,1,2,2,0,1,0,0,0,1,2,1,0,0,0,1,2,1,2,1,1,0,2,3,1,1,2,1,2,3,1,4,0,2,2,0,1,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,4,1,1,1,0,2,0,0,1,2,1,2,1,4,4,3,2,3,0,1,1,1,0,0,1,3
ITEM-00016,0,0,0,2,0,0,0,0,2,3,1,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,3,1,1,1,1,1,2,4,0,3,1,0,3,1,1,0,1,0,1,2,1,0,2,2,2,1,3,0,3,0,2,2,2,1,3,4,5,2,2,0,0,0,2,1,3,1,4,3,0,3,1,3,1,2,2,1,0,3,2,3,2,3,2,2,3,3,0,1,1,0,1,0,2,0,2,0,0,0,0,3,4,1,1,0,0,1,2,1,0,1,1,3,3,1,2,3,4,4,4,2,0,0,1,0,0,4,2
ITEM-00017,0,1,0,2,0,0,0,0,3,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,2,0,1,2,0,2,1,1,1,0,1,1,1,1,0,2,0,1,2,0,1,2,0,0,1,1,1,1,1,3,2,0,1,3,3,2,1,0,1,1,5,1,1,1,1,0,2,2,1,2,2,3,1,0,1,2,0,1,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,2,1,2,2,1,0,1,0,0,0,0,0,1,2,2,1,3,2,5,3,2,2,3,1,1,2,0,0,2,1
ITEM-00018,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,4,2,1,0,0,0,1,3,0,1,0,1,0,1,1,1,1,1,1,0,2,0,1,1,2,0,1,3,0,2,4,0,3,1,0,1,5,1,2,0,2,0,0,0,2,3,1,1,2,1,3,0,2,3,2,1,2,1,0,2,5,2,1,0,0,0,2,1,0,1,0,0,2,3,1,2,2,3,1,2,0,0,0,0,2,6,0,2,2,2,0,1,0,2,2,2,0,0,0,4,0
ITEM-00019,0,3,0,1,0,0,0,1,3,2,0,2,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,1,0,1,1,2,3,1,2,0,2,1,2,1,0,1,0,1,1,0,2,1,0,0,0,1,1,2,2,0,0,0,1,4,1,1,1,1,1,2,2,6,1,0,1,0,2,1,0,3,1,2,0,3,0,1,2,0,1,3,2,2,2,4,0,1,2,2,1,4,2,2,0,1,0,0,0,1,0,1,0,1,0,2,3,1,0,1,1,2,2,2,0,0,0,2,3,1,1,2,1,1,4,1,1,4,3,1,0,0,1,4
ITEM-00020,0,3,0,1,0,1,1,0,3,1,1,4,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,1,1,3,3,3,1,1,2,4,4,2,0,4,1,0,2,0,2,2,1,2,2,0,1,0,2,3,0,4,1,4,1,2,2,2,0,3,3,3,2,3,1,0,4,2,0,1,2,0,2,4,3,1,1,2,1,3,3,4,4,1,2,2,3,4,1,5,5,2,1,0,0,1,1,0,1,0,0,2,1,1,3,3,2,0,0,1,1,0,2,0,1,1,5,1,1,4,7,5,3,1,4,3,2,4,0,0,2,3
ITEM-00021,0,2,0,2,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,2,2,1,0,1,0,1,1,2,0,1,1,0,0,2,0,2,0,1,1,2,0,1,1,1,1,1,0,1,5,3,2,2,2,1,4,0,1,0,0,1,1,1,0,2,2,2,2,1,2,0,0,2,1,3,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,1,1,3,3,1,2,1,2,1,2,0,2,0,2,2,2,5,1,1,3,2,2,1,2,0,1,0,0,1,2
ITEM-00022,0,3,0,3,0,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,1,2,2,1,1,2,3,2,2,1,2,2,1,0,0,0,1,2,5,3,0,2,3,0,0,3,2,0,0,5,1,1,1,1,2,0,1,1,1,3,4,1,2,1,1,2,0,4,4,0,1,1,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,4,4,1,1,1,0,0,0,1,1,0,2,1,1,0,2,2,1,3,1,0,1,0,2,2,0,2,1,4,1,2,6,5,3,3,1,3,5,4,0,0,1,2
ITEM-00023,0,2,0,1,0,1,0,0,1,2,0,1,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,2,0,3,1,0,2,3,1,1,1,2,1,0,0,2,2,0,0,2,0,1,1,0,0,1,1,4,3,2,0,1,0,1,1,0,4,2,2,2,2,0,2,1,6,0,2,2,3,1,2,0,4,1,2,3,4,0,0,2,2,1,3,2,1,0,3,0,1,0,2,0,1,1,0,0,1,0,1,2,1,1,0,1,1,2,1,0,1,0,1,1,1,2,4,3,1,3,3,1,1,1,2,0,0,1,2
ITEM-00024,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,2,1,1,0,0,1,2,1,0,0,0,0,1,1,0,1,0,0,1,1,0,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,0,2,0,0,0,1,1,1,1,0,0,3,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,1,2,0,2,1,1,1,0,0,1,2,0,0,0,0,2,2
ITEM-00025,0,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,2,2,1,0,0,1,1,0,1,1,1,2,1,0,1,1,0,2,0,3,1,0,1,0,2,1,0,0,1,1,2,2,1,2,0,2,1,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,2,0,1,0,0,1,0,1,1,1,2,0,1,0,2,1,2,2,0,0,2,0,0,0,0,0
ITEM-00026,0,2,0,2,0,0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,1,2,0,3,0,0,0,3,0,1,1,1,3,1,2,2,0,1,1,1,1,0,0,0,0,0,1,1,0,1,2,2,2,1,0,1,1,2,2,2,4,3,4,4,2,0,3,0,2,1,1,2,2,2,1,2,0,2,2,3,0,2,3,2,2,3,2,0,1,3,3,1,0,2,2,0,0,0,2,1,0,0,0,5,2,2,1,3,0,2,1,2,3,0,3,1,2,3,4,4,3,2,2,3,1,2,3,0,0,2,2
ITEM-00027,0,0,0,3,0,0,1,1,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,2,1,0,0,0,1,0,2,2,2,2,1,0,1,1,2,2,0,1,1,2,2,0,0,2,1,0,1,1,1,1,2,1,0,0,2,0,2,2,3,1,1,0,2,3,4,3,2,3,0,2,3,1,3,1,2,0,1,2,3,3,1,2,3,2,1,3,2,1,0,4,3,2,1,5,3,0,0,0,0,2,0,0,0,0,0,3,0,3,4,0,2,0,1,4,1,2,0,0,2,3,0,0,0,4,2,3,1,5,2,1,3,0,0,2,2
ITEM-00028,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,3,2,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,3,1,1,1,0,1,2,1,1,2,0,1,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,1,2,0,3,1,0,0,0,0,0,0,0,2
ITEM-00029,0,1,0,0,1,0,0,0,3,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,2,1,3,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,2,0,0,1,0,2,1,0,2,2,2,1,2,1,1,0,1,1,1,1,3,1,1,0,0,1,1,2,2,1,0,1,0,3,2,2,0,2,1,1,1,0,3,3,1,2,2,3,1,5,0,0,0,0,0,1,0,0,0,0,0,2,1,2,5,1,1,1,1,0,2,0,0,2,2,2,3,1,1,3,2,4,2,1,2,2,0,0,1,3,0
ITEM-00030,0,1,1,3,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,8,0,0,1,0,0,0,2,0,1,0,2,1,2,1,0,1,4,3,0,0,0,1,0,2,2,3,3,3,1,0,0,1,1,0,0,0,3,1,2,1,1,2,0,3,0,4,2,2,3,1,0,2,4,1,1,1,0,0,2,2,2,2,2,2,2,4,2,3,1,2,2,2,1,2,1,6,3,0,0,0,0,0,0,1,0,1,0,1,1,2,2,4,1,1,1,2,0,2,2,2,4,1,0,2,2,6,3,2,1,3,2,0,2,2,1,3,1
ITEM-00032,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,2,0,1,2,1,1,1,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,2,0,4,2,1,0,0,0,1,3,3,0,2,0,1,3,0,1,1,0,0,1,2,2,2,1,1,0,1,1,1,0,2,1,2,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,1,1,0,1,0,3,2,2,1,1,2,3,1,2,1,1,0,2,0,1,0,3
ITEM-00033,0,1,0,4,1,0,0,0,3,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,9,0,0,0,0,1,0,3,4,0,1,4,3,0,1,1,3,1,0,0,1,1,2,0,2,1,0,0,0,1,1,1,1,1,1,2,1,1,3,4,2,0,1,1,3,9,2,2,3,1,3,2,1,4,1,1,0,2,3,2,3,2,2,0,2,1,3,3,2,3,3,2,2,1,5,3,0,0,0,0,0,1,1,2,1,0,0,0,3,3,2,0,1,3,2,1,2,1,1,2,4,1,2,3,0,3,3,1,2,3,0,4,1,2,2,3
ITEM-00034,0,2,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,1,0,0,8,0,0,1,1,0,1,1,2,2,1,3,1,2,2,3,1,0,2,1,0,1,0,0,2,0,0,0,2,1,1,1,0,0,0,0,3,2,2,0,0,2,3,3,6,3,0,2,1,1,3,0,3,1,0,1,3,1,2,3,0,0,4,4,2,4,0,2,2,2,2,2,4,3,3,0,1,1,0,0,1,1,0,0,0,1,2,4,3,2,1,2,1,2,1,1,1,1,3,2,1,0,1,2,2,3,1,4,1,1,4,1,0,2,3
ITEM-00035,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,2,2,1,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,1,2,2,0,1,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,2,2,1,2,0,2,0,1,0,0,2,0,3
ITEM-00036,1,3,0,2,1,1,0,0,3,2,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,1,2,0,1,1,2,2,0,0,1,0,1,1,0,3,1,0,1,2,0,1,0,3,1,0,2,1,3,0,1,2,2,1,3,2,4,2,2,1,0,2,2,1,1,1,2,2,0,1,1,1,3,0,4,2,1,2,1,2,0,3,1,2,4,2,2,0,0,1,0,1,0,0,0,1,2,0,2,1,3,1,0,0,4,0,0,0,1,0,2,1,2,0,2,3,3,2,2,0,5,3,1,0,0,1,2
ITEM-00037,1,5,0,3,2,1,2,3,2,3,1,1,0,2,1,2,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,14,0,0,0,0,1,2,0,5,3,0,3,4,1,3,2,1,2,3,3,2,1,0,0,2,0,2,3,2,0,1,7,3,3,4,2,2,0,3,1,4,6,3,5,1,3,2,6,1,3,0,6,3,2,4,3,4,1,4,2,3,4,5,4,2,2,5,5,2,3,8,2,1,0,1,0,1,3,1,1,0,0,2,0,6,6,5,2,2,3,2,3,1,1,1,6,4,1,6,3,8,10,2,5,3,4,3,4,0,1,1,3
ITEM-00038,1,2,0,6,0,0,2,0,3,3,2,0,0,1,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,2,0,1,1,0,0,0,9,0,0,0,4,0,1,3,1,2,0,3,1,0,1,2,1,1,2,4,1,0,0,1,0,2,0,1,1,0,1,0,0,1,4,1,0,3,1,3,4,2,3,2,3,3,2,0,0,1,1,0,3,0,1,1,2,3,4,5,0,2,2,1,2,4,1,4,6,3,1,1,1,1,0,0,0,1,1,1,0,2,0,3,2,2,0,1,0,3,0,2,1,1,2,1,1,4,3,5,3,5,2,5,0,3,3,1,0,0,4
ITEM-00039,0,2,0,5,0,1,0,1,1,2,1,1,3,1,0,0,0,0,0,1,1,1,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,1,5,2,3,4,5,2,1,1,3,0,2,1,6,2,0,0,2,0,2,0,2,1,1,4,3,5,1,4,2,0,4,1,0,5,3,4,4,3,1,5,1,10,2,2,3,6,4,3,2,2,1,0,5,5,4,2,3,5,2,4,1,4,2,3,1,1,1,2,2,1,0,1,3,2,1,0,2,3,3,2,4,2,1,4,1,2,0,3,5,4,4,3,8,4,6,2,4,2,4,3,1,2,2,4
