题目编号,情绪标签,强度1级人次,强度2级人次,强度3级人次,强度4级人次,强度5级人次
ITEM-00042,平静,0,0,1,1,0
ITEM-00042,恐惧,0,0,1,1,0
ITEM-00042,悲伤,0,0,4,6,3
ITEM-00042,抑郁,0,0,0,1,0
ITEM-00042,担忧,0,0,0,0,1
ITEM-00042,渴望,0,0,1,0,0
ITEM-00042,焦虑,0,0,0,1,0
ITEM-00042,紧张,0,0,0,1,0
ITEM-00042,绝望,0,1,0,0,1
ITEM-00042,释然,0,0,0,0,1
ITEM-00042,震惊,0,0,0,1,1
ITEM-00043,内疚,0,0,0,1,0
ITEM-00043,怀旧,0,0,4,4,1
ITEM-00043,悲伤,0,0,0,2,1
ITEM-00043,惊喜,0,0,0,1,0
ITEM-00043,感动,0,0,0,0,1
ITEM-00043,担忧,0,1,0,0,0
ITEM-00043,渴望,0,0,0,1,0
ITEM-00043,爱,0,0,0,1,0
ITEM-00043,痛苦,0,0,1,0,0
ITEM-00043,紧张,0,0,0,1,0
ITEM-00043,绝望,1,0,0,0,0
ITEM-00043,遗憾,0,0,4,6,5
ITEM-00044,兴趣,0,0,0,1,0
ITEM-00044,冷静,0,0,0,1,0
ITEM-00044,好奇,0,0,0,2,0
ITEM-00044,平静,0,0,1,0,0
ITEM-00044,恐惧,0,1,0,1,0
ITEM-00044,惊讶,0,1,1,2,0
ITEM-00044,担忧,0,0,0,0,1
ITEM-00044,敌意,0,0,2,0,1
ITEM-00044,烦躁,0,0,0,2,0
ITEM-00044,紧张,0,0,1,7,11
ITEM-00044,遗憾,0,0,0,1,0
ITEM-00044,震惊,0,0,0,1,0
ITEM-00045,不屑,0,0,0,0,1
ITEM-00045,共情痛苦,0,0,1,0,0
ITEM-00045,内疚,0,0,1,0,0
ITEM-00045,困惑,0,0,0,2,0
ITEM-00045,委屈,0,0,0,1,1
ITEM-00045,怨恨,0,0,0,0,1
ITEM-00045,悲伤,0,0,0,1,0
ITEM-00045,惊讶,0,0,0,1,0
ITEM-00045,愁闷,0,0,0,2,0
ITEM-00045,愤怒,0,0,0,0,3
ITEM-00045,担忧,0,0,0,1,1
ITEM-00045,烦躁,0,0,2,0,0
ITEM-00045,焦虑,0,0,0,1,1
ITEM-00045,痛苦,0,1,0,0,0
ITEM-00045,紧张,0,0,1,4,4
ITEM-00046,不屑,0,0,0,0,1
ITEM-00046,内疚,0,0,3,1,1
ITEM-00046,厌倦,0,1,0,0,0
ITEM-00046,失望,0,0,1,0,0
ITEM-00046,委屈,0,0,1,0,0
ITEM-00046,恐惧,0,0,0,1,0
ITEM-00046,悲伤,0,0,3,4,3
ITEM-00046,惊讶,0,0,0,1,0
ITEM-00046,愁闷,0,0,1,0,0
ITEM-00046,抑郁,0,0,0,1,0
ITEM-00046,担忧,0,0,0,0,1
ITEM-00046,痛苦,0,0,0,0,2
ITEM-00046,蔑视,0,0,1,0,0
ITEM-00047,共情痛苦,0,0,0,0,1
ITEM-00047,兴奋,0,0,1,3,0
ITEM-00047,困惑,0,0,0,1,0
ITEM-00047,快乐,0,0,2,2,6
ITEM-00047,惊喜,0,1,0,4,4
ITEM-00047,惊讶,0,0,0,1,0
ITEM-00047,愉悦,0,0,2,5,4
ITEM-00047,感激,0,0,0,1,0
ITEM-00047,满足,0,1,0,1,0
ITEM-00047,轻松,0,0,0,0,1
ITEM-00048,困惑,0,0,1,0,0
ITEM-00048,愤怒,0,0,3,7,14
ITEM-00048,烦躁,0,0,0,1,1
ITEM-00048,焦虑,0,0,0,1,0
ITEM-00048,紧张,0,0,0,0,1
ITEM-00048,自满,0,0,1,0,0
ITEM-00048,蔑视,0,1,0,1,0
ITEM-00048,遗憾,0,0,0,1,0
ITEM-00048,震惊,0,0,0,1,0
ITEM-00049,不屑,0,1,0,1,0
ITEM-00049,共情痛苦,0,0,0,0,2
ITEM-00049,冷静,0,0,0,0,2
ITEM-00049,厌倦,0,1,0,0,0
ITEM-00049,厌恶,0,0,0,0,1
ITEM-00049,失望,0,0,0,1,0
ITEM-00049,希望,0,0,0,0,1
ITEM-00049,平静,0,0,1,1,0
ITEM-00049,快乐,0,0,0,1,0
ITEM-00049,敌意,0,2,2,7,7
ITEM-00049,渴望,0,0,1,0,0
ITEM-00049,爱,0,0,0,0,1
ITEM-00049,痛苦,0,0,1,0,0
ITEM-00049,绝望,0,0,0,1,0
ITEM-00049,自满,0,0,0,1,0
ITEM-00049,蔑视,0,0,1,2,1
ITEM-00049,轻松,0,0,1,0,0
ITEM-00049,遗憾,0,0,1,1,0
ITEM-00050,不屑,0,0,1,0,0
ITEM-00050,怨恨,0,0,2,8,7
ITEM-00050,悲伤,0,0,0,0,1
ITEM-00050,惊喜,0,0,1,0,0
ITEM-00050,愁闷,0,0,0,1,0
ITEM-00050,愤怒,0,0,0,1,0
ITEM-00050,抑郁,0,0,0,1,0
ITEM-00050,敌意,0,1,4,2,5
ITEM-00050,爱,0,0,1,0,0
ITEM-00050,痛苦,0,0,0,1,1
ITEM-00050,绝望,0,0,1,0,1
ITEM-00050,羞耻,0,0,0,1,0
ITEM-00051,不屑,0,0,0,1,0
ITEM-00051,兴奋,0,0,0,1,0
ITEM-00051,厌恶,0,0,1,1,0
ITEM-00051,委屈,0,0,0,0,1
ITEM-00051,悲伤,0,0,0,5,2
ITEM-00051,惊讶,0,0,1,0,0
ITEM-00051,愤怒,0,0,1,0,0
ITEM-00051,绝望,0,0,1,0,0
ITEM-00052,厌恶,0,0,1,0,1
ITEM-00052,失望,0,0,0,1,1
ITEM-00052,委屈,0,0,2,0,3
ITEM-00052,怨恨,0,0,0,0,1
ITEM-00052,悲伤,0,0,1,2,0
ITEM-00052,愤怒,0,0,0,0,1
ITEM-00052,痛苦,0,0,1,6,3
ITEM-00052,绝望,0,0,2,3,5
ITEM-00052,释然,0,0,1,0,0
ITEM-00052,震惊,0,0,0,0,1
ITEM-00053,共情痛苦,0,1,0,0,0
ITEM-00053,失望,0,0,0,1,0
ITEM-00053,委屈,0,0,1,2,1
ITEM-00053,希望,0,0,1,0,0
ITEM-00053,平静,0,0,1,0,0
ITEM-00053,恐惧,0,0,2,0,0
ITEM-00053,悲伤,0,0,0,10,1
ITEM-00053,愁闷,0,0,0,1,0
ITEM-00053,抑郁,0,0,2,1,0
ITEM-00053,渴望,0,0,0,1,0
ITEM-00053,焦虑,0,0,1,0,0
ITEM-00053,痛苦,0,1,0,0,0
ITEM-00053,绝望,0,1,1,4,5
ITEM-00053,遗憾,0,0,1,0,0
ITEM-00053,震惊,0,0,0,1,0
ITEM-00054,崇拜,1,0,0,0,0
ITEM-00054,希望,0,0,4,0,3
ITEM-00054,平静,0,0,0,0,1
ITEM-00054,快乐,0,1,0,0,0
ITEM-00054,惊喜,0,0,0,1,0
ITEM-00054,愉悦,0,1,0,3,5
ITEM-00054,感动,0,0,0,0,1
ITEM-00054,渴望,0,1,0,1,0
ITEM-00054,爱,0,0,0,0,1
ITEM-00054,自满,0,0,0,1,1
ITEM-00054,自豪,0,0,0,0,1
ITEM-00054,轻松,0,0,4,4,3
ITEM-00055,兴奋,0,0,4,1,2
ITEM-00055,兴趣,0,0,0,1,0
ITEM-00055,审美欣赏,0,0,0,0,1
ITEM-00055,崇拜,0,0,0,1,0
ITEM-00055,希望,0,0,2,0,0
ITEM-00055,平静,0,0,1,0,0
ITEM-00055,快乐,0,0,1,4,10
ITEM-00055,怀旧,0,0,1,0,0
ITEM-00055,愉悦,0,0,3,3,7
ITEM-00055,感激,0,0,0,1,0
ITEM-00055,渴望,0,0,0,1,0
ITEM-00055,满足,0,0,1,0,0
ITEM-00055,自豪,0,0,0,0,2
ITEM-00055,轻松,0,0,1,5,6
ITEM-00055,遗憾,1,0,0,0,0
ITEM-00056,共情痛苦,0,0,0,1,0
ITEM-00056,兴趣,0,0,0,0,1
ITEM-00056,厌倦,0,0,0,1,1
ITEM-00056,厌恶,0,0,1,0,0
ITEM-00056,好奇,0,0,1,0,0
ITEM-00056,审美欣赏,0,0,1,1,0
ITEM-00056,担忧,0,0,1,2,0
ITEM-00057,兴奋,0,0,0,0,1
ITEM-00057,困惑,0,0,1,0,0
ITEM-00057,快乐,0,0,0,1,1
ITEM-00057,惊喜,0,0,1,8,12
ITEM-00057,惊讶,0,0,0,1,0
ITEM-00057,烦躁,0,0,2,0,0
ITEM-00057,焦虑,0,0,0,1,0
ITEM-00057,痛苦,0,0,0,1,0
ITEM-00057,紧张,0,0,0,1,0
ITEM-00057,蔑视,0,0,0,1,0
ITEM-00057,轻松,0,0,1,0,0
ITEM-00058,共情痛苦,0,0,1,1,0
ITEM-00058,兴趣,0,0,2,1,0
ITEM-00058,困惑,0,0,0,1,0
ITEM-00058,好奇,0,0,1,0,1
ITEM-00058,希望,0,0,0,2,0
ITEM-00058,平静,0,0,0,1,0
ITEM-00058,怀旧,0,0,2,2,0
ITEM-00058,悲伤,0,1,1,1,0
ITEM-00058,惊喜,0,0,0,2,1
ITEM-00058,惊讶,0,0,1,0,0
ITEM-00058,愉悦,0,1,1,4,2
ITEM-00058,感动,0,0,0,3,4
ITEM-00058,渴望,0,0,1,0,0
ITEM-00058,爱,0,0,0,1,1
ITEM-00058,自满,0,0,0,0,1
ITEM-00058,自豪,0,1,0,0,1
ITEM-00058,轻松,0,0,0,0,1
ITEM-00058,遗憾,0,0,2,0,0
ITEM-00058,震惊,0,0,0,1,0
ITEM-00059,共情痛苦,0,0,1,0,0
ITEM-00059,烦躁,0,0,0,0,1
ITEM-00059,绝望,0,0,0,1,0
ITEM-00059,羞耻,0,0,1,3,5
ITEM-00060,共情痛苦,0,0,0,1,0
ITEM-00060,冷静,0,0,0,1,1
ITEM-00060,希望,0,0,0,1,0
ITEM-00060,感动,0,0,0,1,0
ITEM-00060,感激,0,0,1,0,2
ITEM-00060,担忧,0,0,1,0,0
ITEM-00060,轻松,0,0,1,0,0
ITEM-00060,遗憾,0,0,1,0,0
ITEM-00061,兴奋,0,0,0,1,1
ITEM-00061,兴趣,0,0,2,0,0
ITEM-00061,崇拜,0,0,0,1,0
ITEM-00061,希望,0,0,1,0,0
ITEM-00061,快乐,0,1,1,8,7
ITEM-00061,惊喜,0,0,0,2,0
ITEM-00061,愉悦,0,0,1,9,7
ITEM-00061,渴望,0,1,1,0,1
ITEM-00061,满足,0,0,2,1,1
ITEM-00061,爱,0,0,1,0,1
ITEM-00061,羡慕,0,0,1,0,0
ITEM-00061,自豪,0,1,1,0,0
ITEM-00061,轻松,0,0,1,1,0
ITEM-00062,快乐,0,0,0,0,1
ITEM-00062,惊喜,0,0,0,2,6
ITEM-00062,爱,0,0,0,1,0
ITEM-00063,好奇,0,0,0,1,0
ITEM-00063,审美欣赏,0,0,1,1,0
ITEM-00063,崇拜,0,0,1,1,0
ITEM-00063,希望,0,1,0,0,1
ITEM-00063,快乐,0,0,0,1,1
ITEM-00063,惊喜,0,0,0,1,0
ITEM-00063,愉悦,0,0,2,6,2
ITEM-00063,感动,0,1,0,0,0
ITEM-00063,渴望,0,0,1,2,0
ITEM-00063,爱,0,0,0,0,1
ITEM-00063,羡慕,0,0,0,1,0
ITEM-00063,自豪,0,1,0,0,0
ITEM-00063,轻松,0,0,3,3,2
ITEM-00064,兴奋,0,0,1,0,0
ITEM-00064,兴趣,0,0,0,0,1
ITEM-00064,厌倦,0,0,0,1,0
ITEM-00064,好奇,0,0,0,1,0
ITEM-00064,审美欣赏,0,0,0,1,0
ITEM-00064,希望,0,0,0,0,1
ITEM-00064,快乐,0,0,1,0,0
ITEM-00064,惊喜,0,0,0,0,2
ITEM-00064,惊讶,0,0,0,1,0
ITEM-00064,愉悦,0,0,4,3,3
ITEM-00064,感动,0,0,0,2,0
ITEM-00064,感激,0,0,0,1,0
ITEM-00064,渴望,0,0,0,1,1
ITEM-00064,烦躁,0,0,0,1,0
ITEM-00064,爱,0,0,0,1,0
ITEM-00064,羡慕,0,0,0,1,0
ITEM-00064,释然,0,0,3,4,0
ITEM-00064,震惊,0,0,1,0,0
ITEM-00065,共情痛苦,0,0,0,1,0
ITEM-00065,内疚,0,0,1,1,0
ITEM-00065,厌倦,0,1,0,0,0
ITEM-00065,怨恨,0,0,0,0,1
ITEM-00065,悲伤,0,1,4,3,7
ITEM-00065,感动,0,0,1,1,1
ITEM-00065,抑郁,0,1,1,1,1
ITEM-00065,担忧,0,0,1,0,1
ITEM-00065,焦虑,0,0,0,1,0
ITEM-00065,紧张,0,0,1,0,0
ITEM-00065,遗憾,0,0,2,5,5
ITEM-00065,释然,1,0,1,3,0
ITEM-00066,怨恨,0,0,1,0,0
ITEM-00066,恐惧,0,0,1,1,0
ITEM-00066,悲伤,0,0,2,4,8
ITEM-00066,愁闷,0,0,1,0,0
ITEM-00066,担忧,0,0,2,0,0
ITEM-00066,渴望,0,0,1,1,1
ITEM-00066,焦虑,0,0,1,0,0
ITEM-00066,痛苦,0,0,3,6,4
ITEM-00066,绝望,1,0,5,3,2
ITEM-00067,兴奋,0,0,1,0,0
ITEM-00067,怀旧,0,0,1,0,0
ITEM-00067,感动,0,0,1,0,0
ITEM-00067,紧张,0,0,0,1,0
ITEM-00067,震惊,0,0,2,1,2
ITEM-00068,不屑,0,1,5,8,14
ITEM-00068,兴奋,0,0,0,0,1
ITEM-00068,厌倦,0,0,0,0,1
ITEM-00068,厌恶,0,2,4,4,5
ITEM-00068,好奇,0,0,1,1,0
ITEM-00068,审美欣赏,0,1,0,0,0
ITEM-00068,怨恨,0,0,0,1,0
ITEM-00068,愤怒,0,1,0,2,0
ITEM-00068,敌意,0,0,1,2,1
ITEM-00068,满足,0,0,0,1,0
ITEM-00068,烦躁,0,0,0,2,3
ITEM-00068,紧张,0,0,1,0,0
ITEM-00068,自满,0,0,0,1,0
ITEM-00068,自豪,0,0,0,0,1
ITEM-00068,蔑视,1,0,2,1,1
ITEM-00069,共情痛苦,0,0,0,1,0
ITEM-00069,希望,0,0,0,0,1
ITEM-00069,快乐,0,0,0,1,0
ITEM-00069,怀旧,0,0,0,2,0
ITEM-00069,愉悦,0,0,2,7,3
ITEM-00069,感动,0,1,0,0,1
ITEM-00069,感激,0,0,3,3,2
ITEM-00069,抑郁,0,0,0,1,0
ITEM-00069,渴望,0,0,0,1,0
ITEM-00069,满足,0,0,0,2,0
ITEM-00069,爱,0,1,2,9,9
ITEM-00069,遗憾,0,0,0,1,1
ITEM-00070,不屑,0,0,0,1,0
ITEM-00070,冷静,0,0,0,1,0
ITEM-00070,厌倦,0,0,2,0,0
ITEM-00070,困惑,1,2,4,13,9
ITEM-00070,失望,0,0,0,1,0
ITEM-00070,委屈,0,0,0,2,4
ITEM-00070,嫉妒,0,0,0,0,1
ITEM-00070,怨恨,0,1,0,0,2
ITEM-00070,恐惧,0,0,0,1,0
ITEM-00070,悲伤,0,0,0,0,2
ITEM-00070,惊讶,0,0,0,1,0
ITEM-00070,愁闷,0,0,1,2,1
ITEM-00070,愤怒,0,0,1,1,1
ITEM-00070,敌意,0,0,0,1,1
ITEM-00070,渴望,0,0,1,1,0
ITEM-00070,烦躁,1,0,0,2,0
ITEM-00070,痛苦,0,1,7,11,3
ITEM-00070,绝望,0,0,0,1,1
ITEM-00070,蔑视,0,0,0,1,0
ITEM-00070,遗憾,0,0,0,1,0
ITEM-00070,震惊,0,0,0,0,1
ITEM-00071,困惑,0,0,0,1,0
ITEM-00071,失望,1,0,1,4,8
ITEM-00071,委屈,0,0,1,2,0
ITEM-00071,悲伤,0,0,0,3,0
ITEM-00071,愁闷,0,1,1,1,0
ITEM-00071,抑郁,0,0,1,0,0
ITEM-00071,担忧,0,0,0,2,1
ITEM-00071,敌意,0,0,0,1,0
ITEM-00071,焦虑,0,0,0,1,0
ITEM-00071,痛苦,0,1,0,1,0
ITEM-00071,紧张,0,0,0,1,0
ITEM-00071,绝望,0,0,0,1,0
ITEM-00071,遗憾,0,1,0,1,0
ITEM-00071,释然,0,1,0,1,0
ITEM-00071,震惊,0,1,1,1,2
ITEM-00072,兴趣,0,0,0,0,1
ITEM-00072,冷静,0,0,1,1,0
ITEM-00072,好奇,0,0,0,1,0
ITEM-00072,希望,0,0,1,7,5
ITEM-00072,快乐,0,0,0,0,1
ITEM-00072,愉悦,0,0,1,6,2
ITEM-00072,感动,0,0,0,1,0
ITEM-00072,感激,0,0,1,0,1
ITEM-00072,满足,0,0,3,7,10
ITEM-00072,自豪,0,0,0,0,1
ITEM-00072,轻松,0,0,5,11,6
ITEM-00072,释然,0,0,0,1,2
ITEM-00073,共情痛苦,0,0,0,2,0
ITEM-00073,内疚,0,1,0,0,0
ITEM-00073,崇拜,0,0,0,1,0
ITEM-00073,希望,0,0,0,2,0
ITEM-00073,愉悦,0,0,0,1,0
ITEM-00073,感动,0,0,2,7,7
ITEM-00073,感激,0,0,0,2,0
ITEM-00073,渴望,0,0,1,1,0
ITEM-00073,爱,0,0,2,3,0
ITEM-00073,羡慕,0,1,0,0,0
ITEM-00073,自豪,0,0,0,2,0
ITEM-00073,遗憾,0,0,0,2,0
ITEM-00073,释然,0,0,1,0,0
ITEM-00074,不屑,0,0,0,1,0
ITEM-00074,共情痛苦,0,0,0,0,1
ITEM-00074,兴奋,0,0,0,1,0
ITEM-00074,自豪,0,0,1,6,4
ITEM-00075,不屑,0,0,0,1,0
ITEM-00075,共情痛苦,0,0,0,1,0
ITEM-00075,厌倦,0,0,1,0,0
ITEM-00075,厌恶,0,0,3,1,1
ITEM-00075,失望,0,1,2,1,0
ITEM-00075,好奇,0,0,0,0,1
ITEM-00075,怨恨,0,0,1,2,0
ITEM-00075,恐惧,0,1,0,0,0
ITEM-00075,惊喜,0,0,0,1,0
ITEM-00075,惊讶,0,0,1,0,1
ITEM-00075,愁闷,0,1,0,0,0
ITEM-00075,愤怒,0,0,5,9,5
ITEM-00075,担忧,0,1,0,0,0
ITEM-00075,敌意,0,0,0,1,0
ITEM-00075,渴望,0,0,1,0,0
ITEM-00075,烦躁,0,0,0,1,0
ITEM-00075,痛苦,0,0,0,0,1
ITEM-00075,紧张,0,0,0,0,2
ITEM-00075,绝望,0,0,0,0,1
ITEM-00075,震惊,0,0,1,10,7
ITEM-00076,共情痛苦,0,0,1,1,0
ITEM-00076,厌恶,0,0,1,1,0
ITEM-00076,困惑,0,0,0,1,0
ITEM-00076,失望,0,0,1,1,1
ITEM-00076,委屈,0,0,1,0,0
ITEM-00076,嫉妒,0,0,0,1,0
ITEM-00076,尴尬,0,0,1,0,1
ITEM-00076,希望,0,0,1,0,0
ITEM-00076,怨恨,0,1,0,1,1
ITEM-00076,悲伤,0,0,2,0,0
ITEM-00076,愉悦,0,0,1,0,0
ITEM-00076,愤怒,0,0,0,1,1
ITEM-00076,敌意,0,0,1,2,0
ITEM-00076,烦躁,0,0,3,8,5
ITEM-00076,痛苦,1,0,0,1,0
ITEM-00076,绝望,0,1,0,1,0
ITEM-00076,羞耻,0,2,0,1,0
ITEM-00076,遗憾,0,0,1,0,0
