"匿名答卷编号","提交时间（北京时间）","答卷综合得分率（%）","题号","题目编号","题目标题","素材模态","能力类型","选项形式","题目分值","本题候选情绪","用户选择情绪","用户情绪强度","标准情绪","标准情绪强度","是否看过素材","作答状态","标签得分率（%）","强度得分率（%）","单题综合得分率（%）","单题实得分","作答用时（秒）","修改次数"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","11","ITEM-00070","119","文本","情绪识别","多选题","4.50","痛苦｜困惑｜担忧｜愉悦｜不屑｜爱｜释然｜怨恨｜厌恶｜满足","困惑｜痛苦","5｜4","困惑｜痛苦","4｜5","否","已作答","100.00","75.00","90.00","4.05","99.31","6"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","12","ITEM-00065","112","图像","情绪识别","多选题","4.50","释然｜怨恨｜不屑｜悲伤｜遗憾｜担忧｜冷静｜感动｜震惊｜自满","遗憾｜悲伤","3｜5","悲伤｜遗憾｜感动｜释然","3｜4｜4｜4","否","已作答","66.67","31.25","52.50","2.36","29.22","6"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","13","ITEM-00051","93","图像","情绪识别","单选题","3.50","悲伤｜愁闷｜愉悦｜紧张｜兴奋｜渴望｜震惊｜释然｜抑郁｜共情痛苦","悲伤","5","悲伤","4","是","已作答","100.00","75.00","90.00","3.15","15.58","3"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","14","ITEM-00149","60","视频","情绪推理","单选题","2.50","尴尬｜怨恨｜担忧｜好奇｜快乐｜蔑视｜兴趣｜希望｜困惑｜愁闷","愁闷","4","担忧","4","否","已作答","0.00","0.00","0.00","0.00","91.34","3"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","15","ITEM-00064","111","图像","情绪识别","多选题","4.50","遗憾｜希望｜困惑｜怨恨｜烦躁｜释然｜愉悦｜感动｜惊讶｜渴望","释然｜愉悦","4｜5","释然｜愉悦","3｜5","否","已作答","100.00","87.50","95.00","4.28","15.92","5"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","16","ITEM-00092","66","音频","情绪识别","多选题","4.50","内疚｜绝望｜抑郁｜兴趣｜失望｜悲伤｜满足｜痛苦｜惊讶｜感激","悲伤｜内疚｜痛苦","4｜3｜4","内疚｜痛苦｜悲伤","5｜5｜5","否","已作答","100.00","66.67","86.67","3.90","44.97","8"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","17","ITEM-00100","10","视频","情绪推理","多选题","4.50","愉悦｜共情痛苦｜羡慕｜兴奋｜得意｜愤怒｜震惊｜不屑｜兴趣｜愁闷","得意｜不屑","4｜4","不屑｜得意","4｜4","否","已作答","100.00","100.00","100.00","4.50","17.97","7"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","18","ITEM-00095","59","文本","情绪识别","多选题","4.50","失望｜渴望｜内疚｜敌意｜快乐｜兴趣｜感激｜痛苦｜感动｜恐惧","内疚｜痛苦","5｜3","内疚｜痛苦","5｜5","否","已作答","100.00","75.00","90.00","4.05","31.52","6"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","19","ITEM-00123","8","音频","情绪识别","单选题","3.50","尴尬｜紧张｜愁闷｜惊讶｜厌倦｜自满｜震惊｜厌恶｜绝望｜满足","紧张","4","绝望","4","是","已作答","0.00","0.00","0.00","0.00","23.69","6"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","20","ITEM-00048","2","音频","情绪识别","单选题","3.50","快乐｜紧张｜释然｜尴尬｜愉悦｜平静｜自满｜不屑｜冷静｜愤怒","愤怒","5","愤怒","5","否","已作答","100.00","100.00","100.00","3.50","26.71","4"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","21","ITEM-00130","104","图像","情绪识别","多选题","4.50","厌恶｜绝望｜敌意｜痛苦｜蔑视｜愤怒｜厌倦｜释然｜震惊｜爱","震惊","3","愤怒｜震惊","5｜4","是","已作答","66.67","37.50","55.00","2.47","17.04","5"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","22","ITEM-00027","83","视频","情绪识别","单选题","3.50","冷静｜恐惧｜渴望｜厌恶｜烦躁｜羡慕｜快乐｜痛苦｜悲伤｜愁闷","快乐","5","快乐","4","否","已作答","100.00","75.00","90.00","3.15","37.85","3"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","23","ITEM-00139","37","图像","情绪推理","多选题","4.50","好奇｜兴趣｜焦虑｜蔑视｜希望｜爱｜怨恨｜震惊｜羞耻｜敬畏","敬畏","4","焦虑｜敬畏","3｜4","是","已作答","66.67","50.00","60.00","2.70","23.70","3"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","24","ITEM-00142","68","文本","情绪推理","单选题","3.50","困惑｜悲伤｜惊喜｜敌意｜快乐｜紧张｜满足｜羡慕｜爱｜愉悦","敌意","4","敌意","4","否","已作答","100.00","100.00","100.00","3.50","34.26","5"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","1","ITEM-00138","22","音频","情绪推理","多选题","4.50","厌恶｜不屑｜审美欣赏｜可惜｜尴尬｜快乐｜羡慕｜感激｜满足｜兴奋","审美欣赏｜感激","4｜4","不屑｜可惜","4｜3","否","已作答","0.00","0.00","0.00","0.00","104.42","8"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","2","ITEM-00095","59","文本","情绪识别","多选题","4.50","惊讶｜好奇｜释然｜共情痛苦｜悲伤｜自满｜审美欣赏｜痛苦｜内疚｜感动","悲伤｜痛苦｜内疚","5｜5｜5","内疚｜痛苦","5｜5","否","已作答","80.00","100.00","88.00","3.96","54.27","7"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","3","ITEM-00064","111","图像","情绪识别","多选题","4.50","抑郁｜释然｜嫉妒｜审美欣赏｜烦躁｜愉悦｜厌倦｜困惑｜自豪｜好奇","烦躁｜厌倦","4｜4","释然｜愉悦","3｜5","否","已作答","0.00","0.00","0.00","0.00","12.34","7"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","4","ITEM-00037","50","文本","情绪识别","单选题","3.50","自豪｜爱｜蔑视｜愉悦｜遗憾｜快乐｜兴奋｜委屈｜惊喜｜崇拜","蔑视","5","蔑视","3","否","已作答","100.00","50.00","80.00","2.80","42.99","3"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","5","ITEM-00057","23","音频","情绪识别","单选题","3.50","厌倦｜满足｜惊喜｜敌意｜羡慕｜抑郁｜愤怒｜审美欣赏｜不屑｜紧张","惊喜","5","惊喜","5","否","已作答","100.00","100.00","100.00","3.50","67.83","3"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","6","ITEM-00007","29","图像","情绪识别","单选题","3.50","困惑｜紧张｜惊讶｜敌意｜痛苦｜厌恶｜震惊｜共情痛苦｜惊喜｜兴奋","困惑","5","惊讶","3","否","已作答","0.00","0.00","0.00","0.00","33.48","3"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","7","ITEM-00142","68","文本","情绪推理","单选题","3.50","嫉妒｜希望｜敌意｜抑郁｜冷静｜好奇｜委屈｜震惊｜愉悦｜厌恶","敌意","5","敌意","4","否","已作答","100.00","75.00","90.00","3.15","56.13","3"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","8","ITEM-00009","7","音频","情绪识别","单选题","3.50","委屈｜平静｜爱｜震惊｜共情痛苦｜担忧｜烦躁｜愉悦｜紧张｜渴望","紧张","5","紧张","2","否","已作答","100.00","25.00","70.00","2.45","62.25","3"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","9","ITEM-00139","37","图像","情绪推理","多选题","4.50","绝望｜敬畏｜好奇｜不屑｜焦虑｜崇拜｜希望｜怨恨｜担忧｜惊讶","敬畏","4","焦虑｜敬畏","3｜4","否","已作答","66.67","50.00","60.00","2.70","54.73","3"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","10","ITEM-00125","85","视频","情绪识别","多选题","4.50","感激｜不屑｜平静｜自豪｜绝望｜审美欣赏｜兴奋｜痛苦｜嫉妒｜愉悦","感激｜不屑｜兴奋","5｜4｜5","感激｜愉悦｜不屑","5｜5｜3","否","已作答","66.67","58.33","63.33","2.85","61.98","8"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","11","ITEM-00015","4","视频","情绪识别","单选题","3.50","震惊｜绝望｜痛苦｜紧张｜感激｜惊喜｜遗憾｜愉悦｜满足｜嫉妒","痛苦","5","绝望","4","未填写","已作答","0.00","0.00","0.00","0.00","108.58","3"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","12","ITEM-00077","79","音频","情绪识别","多选题","4.50","恐惧｜怀旧｜兴奋｜担忧｜愁闷｜平静｜厌倦｜审美欣赏｜烦躁｜委屈","烦躁","5","烦躁｜厌倦","4｜4","否","已作答","66.67","37.50","55.00","2.47","51.21","4"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","13","ITEM-00097","82","文本","情绪识别","多选题","4.50","蔑视｜委屈｜羡慕｜审美欣赏｜轻松｜自豪｜紧张｜担忧｜快乐｜希望","轻松｜快乐","5｜4","轻松｜快乐","4｜4","是","已作答","100.00","87.50","95.00","4.28","51.12","9"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","14","ITEM-00150","86","视频","情绪推理","多选题","4.50","抑郁｜失望｜感动｜快乐｜怀旧｜爱｜羞耻｜蔑视｜惊喜｜满足","惊喜","4","满足｜快乐","4｜3","否","已作答","0.00","0.00","0.00","0.00","42.69","5"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","15","ITEM-00088","81","视频","情绪识别","多选题","4.50","兴奋｜希望｜羡慕｜惊喜｜遗憾｜爱｜厌倦｜感动｜委屈｜快乐","兴奋｜惊喜｜快乐","5｜4｜5","快乐｜惊喜｜兴奋｜爱","5｜5｜5｜5","否","已作答","85.71","68.75","78.93","3.55","46.28","8"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","16","ITEM-00046","89","图像","情绪识别","多选题","4.50","困惑｜自满｜敌意｜蔑视｜平静｜失望｜嫉妒｜内疚｜悲伤｜愁闷","内疚｜悲伤｜愁闷","3｜3｜3","内疚｜悲伤","4｜3","否","已作答","80.00","87.50","83.00","3.73","35.81","6"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","17","ITEM-00094","88","音频","情绪识别","多选题","4.50","怨恨｜兴趣｜自豪｜兴奋｜愤怒｜失望｜满足｜好奇｜轻松｜渴望","兴趣｜轻松","4｜4","渴望｜兴趣","4｜5","否","已作答","50.00","37.50","45.00","2.02","78.39","5"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","18","ITEM-00084","78","音频","情绪推理","多选题","4.50","快乐｜愁闷｜羡慕｜羞耻｜崇拜｜自满｜感动｜烦躁｜平静｜厌倦","烦躁｜快乐","4｜3","羞耻｜烦躁","4｜5","否","已作答","50.00","37.50","45.00","2.02","52.21","4"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","19","ITEM-00073","107","图像","情绪识别","多选题","4.50","感动｜释然｜怀旧｜羞耻｜冷静｜抑郁｜惊喜｜爱｜希望｜愁闷","感动｜希望","4｜4","感动｜爱","5｜5","否","已作答","50.00","37.50","45.00","2.02","28.63","5"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","20","ITEM-00004","62","视频","情绪推理","单选题","3.50","崇拜｜敌意｜尴尬｜冷静｜感激｜释然｜自豪｜厌倦｜惊讶｜感动","尴尬","5","尴尬","3","否","已作答","100.00","50.00","80.00","2.80","31.79","5"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","21","ITEM-00070","119","文本","情绪识别","多选题","4.50","烦躁｜满足｜尴尬｜平静｜困惑｜痛苦｜审美欣赏｜渴望｜委屈｜惊讶","委屈｜困惑｜渴望","5｜4｜4","困惑｜痛苦","4｜5","否","已作答","40.00","50.00","44.00","1.98","36.92","8"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","22","ITEM-00140","63","文本","情绪推理","多选题","4.50","紧张｜兴奋｜爱｜困惑｜审美欣赏｜惊喜｜兴趣｜嫉妒｜轻松｜痛苦","兴奋｜惊喜｜兴趣","5｜5｜5","惊喜｜兴奋","4｜4","否","已作答","80.00","75.00","78.00","3.51","28.93","7"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","23","ITEM-00115","39","图像","情绪识别","单选题","3.50","感激｜烦躁｜爱｜震惊｜轻松｜渴望｜羞耻｜焦虑｜满足｜自豪","震惊","5","震惊","5","否","已作答","100.00","100.00","100.00","3.50","11.89","3"
"ZJ20260816F0E6F92D","2026-08-16 13:03:05","55.34","24","ITEM-00100","10","视频","情绪推理","多选题","4.50","兴趣｜震惊｜得意｜蔑视｜满足｜不屑｜失望｜好奇｜轻松｜共情痛苦","蔑视｜不屑","5｜5","不屑｜得意","4｜4","否","已作答","50.00","37.50","45.00","2.02","65.16","5"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","1","ITEM-00109","88","音频","情绪推理","多选题","4.50","愁闷｜厌倦｜困惑｜厌恶｜好奇｜委屈｜愤怒｜审美欣赏｜敌意｜爱","厌倦｜困惑｜愤怒｜愁闷","4｜3｜4｜3","厌倦｜困惑","3｜3","否","已作答","66.67","87.50","75.00","3.38","168.89","7"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","2","ITEM-00143","71","文本","情绪推理","单选题","3.50","厌恶｜愉悦｜渴望｜崇拜｜不屑｜自豪｜担忧｜轻松｜好奇｜释然","不屑","4","不屑","3","是","已作答","100.00","75.00","90.00","3.15","45.99","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","3","ITEM-00108","59","音频","情绪推理","多选题","4.50","渴望｜抑郁｜尴尬｜感激｜爱｜震惊｜痛苦｜兴趣｜怨恨｜快乐","痛苦","4","痛苦｜抑郁","4｜4","否","已作答","66.67","50.00","60.00","2.70","74.29","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","4","ITEM-00097","82","文本","情绪识别","多选题","4.50","轻松｜失望｜震惊｜感动｜尴尬｜愉悦｜爱｜自豪｜快乐｜兴奋","愉悦","4","轻松｜快乐","4｜4","否","已作答","0.00","0.00","0.00","0.00","74.08","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","5","ITEM-00106","77","视频","情绪推理","单选题","3.50","愁闷｜内疚｜快乐｜好奇｜满足｜悲伤｜释然｜厌倦｜怀旧｜愤怒","满足","5","快乐","5","是","已作答","0.00","0.00","0.00","0.00","107.89","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","6","ITEM-00107","81","视频","情绪推理","多选题","4.50","羡慕｜感动｜共情痛苦｜快乐｜平静｜悲伤｜兴趣｜抑郁｜内疚｜满足","快乐","4","快乐｜满足｜感动","5｜5｜5","是","已作答","50.00","25.00","40.00","1.80","36.59","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","7","ITEM-00125","85","视频","情绪识别","多选题","4.50","希望｜快乐｜烦躁｜恐惧｜不屑｜感激｜愉悦｜自豪｜痛苦｜共情痛苦","共情痛苦｜感激｜希望","5｜5｜4","感激｜愉悦｜不屑","5｜5｜3","否","已作答","33.33","33.33","33.33","1.50","65.46","7"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","8","ITEM-00020","13","视频","情绪识别","单选题","3.50","愁闷｜困惑｜委屈｜尴尬｜兴趣｜抑郁｜释然｜愤怒｜悲伤｜渴望","尴尬","4","尴尬","3","是","已作答","100.00","75.00","90.00","3.15","51.41","5"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","9","ITEM-00037","50","文本","情绪识别","单选题","3.50","希望｜蔑视｜怨恨｜羡慕｜敌意｜渴望｜平静｜爱｜绝望｜尴尬","蔑视","4","蔑视","3","否","已作答","100.00","75.00","90.00","3.15","18.18","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","10","ITEM-00121","106","图像","情绪识别","单选题","3.50","怀旧｜愉悦｜渴望｜惊讶｜痛苦｜尴尬｜困惑｜委屈｜绝望｜感激","惊讶","4","惊讶","5","是","已作答","100.00","75.00","90.00","3.15","19.49","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","11","ITEM-00140","63","文本","情绪推理","多选题","4.50","平静｜自豪｜恐惧｜释然｜嫉妒｜满足｜兴奋｜爱｜绝望｜惊喜","兴奋","4","惊喜｜兴奋","4｜4","否","已作答","66.67","50.00","60.00","2.70","29.10","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","12","ITEM-00072","120","文本","情绪识别","多选题","4.50","担忧｜愉悦｜崇拜｜平静｜满足｜自豪｜希望｜兴趣｜轻松｜痛苦","愉悦｜满足｜希望｜轻松","4｜4｜5｜4","满足｜轻松｜愉悦｜希望｜兴趣","5｜5｜5｜5｜5","否","已作答","88.89","65.00","79.33","3.57","46.03","9"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","13","ITEM-00079","61","视频","情绪推理","多选题","4.50","困惑｜怨恨｜快乐｜痛苦｜绝望｜委屈｜悲伤｜愁闷｜失望｜恐惧","困惑｜委屈｜恐惧","4｜5｜5","委屈｜悲伤","3｜3","否","已作答","40.00","25.00","34.00","1.53","37.29","7"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","14","ITEM-00146","118","文本","情绪识别","多选题","4.50","蔑视｜崇拜｜内疚｜兴奋｜好奇｜焦虑｜烦躁｜失望｜震惊｜轻松","失望｜烦躁","4｜4","烦躁｜失望","4｜4","否","已作答","100.00","100.00","100.00","4.50","56.40","5"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","15","ITEM-00077","79","音频","情绪识别","多选题","4.50","蔑视｜厌倦｜失望｜烦躁｜厌恶｜审美欣赏｜委屈｜崇拜｜渴望｜释然","烦躁｜委屈｜厌倦","5｜5｜5","烦躁｜厌倦","4｜4","否","已作答","80.00","75.00","78.00","3.51","43.18","7"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","16","ITEM-00071","91","图像","情绪识别","多选题","4.50","焦虑｜释然｜失望｜震惊｜抑郁｜遗憾｜兴趣｜共情痛苦｜绝望｜愁闷","失望","5","失望｜震惊","5｜5","否","已作答","66.67","50.00","60.00","2.70","30.71","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","17","ITEM-00048","2","音频","情绪识别","单选题","3.50","不屑｜愤怒｜惊讶｜厌恶｜敌意｜羡慕｜怨恨｜蔑视｜平静｜惊喜","愤怒","4","愤怒","5","否","已作答","100.00","75.00","90.00","3.15","28.81","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","18","ITEM-00046","89","图像","情绪识别","多选题","4.50","愉悦｜悲伤｜惊喜｜爱｜兴趣｜痛苦｜满足｜内疚｜惊讶｜希望","痛苦","5","内疚｜悲伤","4｜3","否","已作答","0.00","0.00","0.00","0.00","12.31","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","19","ITEM-00076","78","音频","情绪识别","多选题","4.50","共情痛苦｜惊讶｜羞耻｜怨恨｜满足｜自豪｜渴望｜嫉妒｜蔑视｜烦躁","嫉妒","4","羞耻｜烦躁","4｜5","否","已作答","0.00","0.00","0.00","0.00","16.89","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","20","ITEM-00124","22","音频","情绪识别","单选题","3.50","自满｜释然｜尴尬｜共情痛苦｜痛苦｜不屑｜敌意｜厌恶｜自豪｜感激","释然","4","释然","3","否","已作答","100.00","75.00","90.00","3.15","45.81","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","21","ITEM-00139","37","图像","情绪推理","多选题","4.50","感动｜敬畏｜蔑视｜焦虑｜嫉妒｜惊讶｜轻松｜敌意｜快乐｜羞耻","敬畏","4","焦虑｜敬畏","3｜4","是","已作答","66.67","50.00","60.00","2.70","15.17","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","22","ITEM-00034","43","图像","情绪识别","单选题","3.50","共情痛苦｜厌恶｜释然｜怨恨｜遗憾｜恐惧｜痛苦｜惊喜｜自豪｜爱","爱","5","爱","5","是","已作答","100.00","100.00","100.00","3.50","9.52","3"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","23","ITEM-00052","94","图像","情绪识别","多选题","4.50","爱｜困惑｜渴望｜快乐｜怨恨｜绝望｜冷静｜痛苦｜厌恶｜委屈","绝望｜痛苦｜委屈｜厌恶｜怨恨","5｜5｜5｜5｜5","绝望｜痛苦｜委屈","5｜5｜4","是","已作答","75.00","91.67","81.67","3.67","23.43","11"
"ZJ20260816FE8BA1E6","2026-08-16 12:50:34","59.25","24","ITEM-00089","84","视频","情绪识别","多选题","4.50","爱｜同情｜羞耻｜震惊｜悲伤｜失望｜兴奋｜不屑｜担忧｜厌恶","悲伤｜同情｜震惊｜失望","4｜4｜3｜5","担忧｜同情｜悲伤","5｜4｜5","否","已作答","57.14","58.33","57.62","2.59","89.14","8"
"ZJ2026081632C60C6E","2026-08-16 12:36:18","61.09","1","ITEM-00048","2","音频","情绪识别","单选题","3.50","感动｜紧张｜愤怒｜困惑｜兴趣｜委屈｜惊喜｜烦躁｜厌倦｜恐惧","烦躁","4","愤怒","5","否","已作答","0.00","0.00","0.00","0.00","40.20","3"
"ZJ2026081632C60C6E","2026-08-16 12:36:18","61.09","2","ITEM-00049","17","音频","情绪识别","单选题","3.50","怨恨｜担忧｜满足｜羡慕｜渴望｜希望｜厌恶｜释然｜厌倦｜敌意","敌意","3","敌意","4","是","已作答","100.00","75.00","90.00","3.15","147.78","3"
"ZJ2026081632C60C6E","2026-08-16 12:36:18","61.09","3","ITEM-00086","79","音频","情绪推理","多选题","4.50","失望｜羞耻｜震惊｜烦躁｜感动｜愁闷｜厌倦｜自豪｜痛苦｜愤怒","烦躁","4","烦躁｜厌倦","4｜4","否","已作答","66.67","50.00","60.00","2.70","18.64","4"
"ZJ2026081632C60C6E","2026-08-16 12:36:18","61.09","4","ITEM-00142","68","文本","情绪推理","单选题","3.50","焦虑｜感动｜厌恶｜快乐｜敌意｜嫉妒｜怨恨｜兴趣｜审美欣赏｜羡慕","厌恶","4","敌意","4","否","已作答","0.00","0.00","0.00","0.00","30.64","3"
"ZJ2026081632C60C6E","2026-08-16 12:36:18","61.09","5","ITEM-00069","117","文本","情绪识别","多选题","4.50","困惑｜好奇｜感激｜共情痛苦｜满足｜烦躁｜爱｜悲伤｜愉悦｜恐惧","爱｜愉悦","3｜4","感激｜爱｜愉悦","4｜4｜5","否","已作答","80.00","50.00","68.00","3.06","23.94","4"
"ZJ2026081632C60C6E","2026-08-16 12:36:18","61.09","6","ITEM-00068","116","文本","情绪识别","多选题","4.50","震惊｜感动｜不屑｜遗憾｜好奇｜厌倦｜共情痛苦｜厌恶｜轻松｜愁闷","厌恶｜不屑","2｜4","厌恶｜不屑","4｜4","否","已作答","100.00","75.00","90.00","4.05","39.05","6"
"ZJ2026081632C60C6E","2026-08-16 12:36:18","61.09","7","ITEM-00102","57","视频","情绪推理","多选题","4.50","不屑｜平静｜委屈｜抑郁｜失望｜烦躁｜渴望｜自满｜尴尬｜愤怒","烦躁｜愤怒","5｜5","愤怒｜烦躁","5｜5","否","已作答","100.00","100.00","100.00","4.50","67.14","7"
"ZJ2026081632C60C6E","2026-08-16 12:36:18","61.09","8","ITEM-00082","72","视频","情绪识别","多选题","4.50","崇拜｜轻松｜兴奋｜抑郁｜审美欣赏｜惊讶｜焦虑｜紧张｜不屑｜厌倦","焦虑｜紧张","4｜5","焦虑｜紧张","4｜5","否","已作答","100.00","100.00","100.00","4.50","49.13","7"
